# limit = 1.36887
#
# x           y           z           vx          vy          vz          s           m
 3.2301e-01 -1.6325e-01 -6.3836e-01  1.2980e+01 -1.4600e+01 -2.2047e+01  2.9457e+01  1.0000e+00
-1.4016e-01  6.1257e-01 -3.2858e-01  2.0961e+00 -1.0037e+01  5.1484e+00  1.1474e+01  1.0000e+00
-5.0551e-01  5.2552e-01 -3.2820e-01  5.6785e+00 -1.0299e+01  1.7527e+00  1.1891e+01  1.0000e+00
-6.9659e-01 -1.5597e-01 -3.6825e-01  1.1355e+01  2.6783e+00  5.2596e+00  1.2797e+01  1.0000e+00
-1.6219e-01 -3.8953e-01 -6.5754e-01  1.0536e+01  6.6102e-01  4.9185e+00  1.1646e+01  1.0000e+00
-5.5540e-02  4.5443e-01 -6.2823e-01  1.7141e-01 -8.2363e+00  9.4152e+00  1.2510e+01  1.0000e+00
-1.6942e-01  8.1568e-02  5.8427e-01  7.9538e+00 -2.9899e-01 -7.1072e+00  1.0671e+01  1.0000e+00
-2.8751e-01 -6.5185e-01 -2.7411e-01  2.7162e+00  1.2809e+01  2.9186e+00  1.3415e+01  1.0000e+00
-4.8339e-01  2.2525e-01 -1.2363e-01  6.7528e+00 -2.7985e+00  3.6308e+00  8.1618e+00  1.0000e+00
-7.7520e-02 -3.6601e-01 -2.4897e-02 -1.5050e-01  7.5256e+00 -2.0725e+00  7.8072e+00  1.0000e+00
-8.0875e-03  5.0224e-01  1.3781e-01 -2.4553e+00 -1.1589e+01 -1.5077e+00  1.1941e+01  1.0000e+00
 5.8164e-01 -3.5548e-01 -5.2951e-03 -7.7728e+00  2.5437e+00 -1.2943e+00  8.2803e+00  1.0000e+00
 7.2050e-01 -9.9515e-02  1.9624e-01 -1.6894e+01 -8.0837e+00  2.4411e+00  1.8887e+01  1.0000e+00
 1.5726e-01 -4.7527e-01 -3.6057e-01 -2.2357e+00  6.1231e+00  5.5425e+00  8.5563e+00  1.0000e+00
 6.9606e-01 -2.7421e-01  1.0295e-01 -8.4605e+00  4.7016e+00 -3.5308e+00  1.0303e+01  1.0000e+00
-2.5013e-01 -7.2026e-01  2.9998e-01  4.0171e+00  1.2631e+01 -6.0397e+00  1.4565e+01  1.0000e+00
-1.8804e-01 -7.4386e-02 -2.1959e-02  6.6624e+00  1.1653e+01 -2.0430e-01  1.3425e+01  1.0000e+00
 5.9619e-01  4.3371e-01 -3.2154e-02 -1.4025e+01 -1.0847e+01  3.6252e+00  1.8097e+01  1.0000e+00
 1.3626e-01  1.8296e-02 -3.3782e-01 -7.6933e+00  9.5929e-01  7.1029e+00  1.0515e+01  1.0000e+00
-5.4693e-01  1.5299e-02 -1.9583e-01  1.4366e+01 -8.2478e-01 -7.2288e+00  1.6103e+01  1.0000e+00
 4.2487e-01  2.3254e-01 -3.2677e-01 -6.4708e+00 -2.1217e+00  1.0269e+01  1.2322e+01  1.0000e+00
