# limit = 19.4481
#
# x           y           z           vx          vy          vz          s           m
-4.0254e-01 -6.5574e-01  4.7175e-01 -3.3212e+00  1.3191e+01  6.6959e+00  1.5161e+01  1.0000e+00
-1.9916e-01  6.2862e-01  3.8014e-01  1.0656e+00 -5.2453e+00  1.5386e+01  1.6290e+01  1.0000e+00
 1.9527e+01  8.3713e-01  3.8242e+00  3.4137e+01  2.0210e+00  6.6887e+00  3.4845e+01  1.0000e+00
-5.3829e-01  1.1395e+00  8.1528e-01 -9.6111e-01  2.3728e+00 -3.3200e+00  4.1924e+00  1.0000e+00
-1.6515e+01  6.2479e+00  9.9316e+00 -2.9358e+01  1.0879e+01  1.7325e+01  3.5783e+01  1.0000e+00
 7.1699e+00 -2.2809e+00  2.0457e+01  1.2999e+01 -3.5992e+00  3.6276e+01  3.8703e+01  1.0000e+00
 1.1100e+00 -1.6662e+01 -1.1540e+01  1.4458e+00 -2.9385e+01 -2.0059e+01  3.5607e+01  1.0000e+00
 2.3041e-01  5.3189e-01  9.7143e-02 -8.6769e+00  1.7171e+01  7.7919e+00  2.0757e+01  1.0000e+00
-2.6197e+01  1.9091e+01  5.9030e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 3.6403e+01 -1.9416e+01  9.4344e-01  1.1450e+02 -6.2017e+01  3.0413e+00  1.3025e+02  1.0000e+00
 2.9043e+00  3.9393e+00  2.5097e+00  7.1460e-01  3.1527e+00  1.1882e+00  3.4441e+00  1.0000e+00
 1.4670e-01  7.9656e-01  4.6538e-01  1.0153e+00 -6.8586e+00 -3.0072e-01  6.9399e+00  1.0000e+00
-1.1052e+00  3.3364e+00  2.2771e-01  8.0800e-01  5.5690e+00  3.9895e+00  6.8981e+00  1.0000e+00
 5.1480e+00  1.3194e+00 -8.1610e-01  5.9084e+00  2.8803e+00  2.5150e-01  6.5779e+00  1.0000e+00
 1.5912e+00 -1.0923e+00  6.6698e-01  3.3854e+00 -3.8289e+00 -1.0664e+00  5.2210e+00  1.0000e+00
-6.9586e+00 -1.1957e+00 -5.2647e+00 -1.0369e+01 -2.9377e+00 -6.1342e+00  1.2401e+01  1.0000e+00
 1.1931e+01 -1.2468e+01 -1.4265e+01  2.1066e+01 -2.2107e+01 -2.5526e+01  3.9800e+01  1.0000e+00
-3.4490e-01  1.3149e+00  3.0580e-01  5.4993e+00  1.4458e+01  9.5262e+00  1.8167e+01  1.0000e+00
-3.9055e-01  1.0191e+00  3.9618e-01  2.4633e+00  6.9506e+00  3.8630e+00  8.3248e+00  1.0000e+00
 4.1386e+01  3.3709e+01 -1.4632e+01  7.3441e+01  5.8890e+01 -2.5204e+01  9.7452e+01  1.0000e+00
-7.5942e-01  1.1147e+00 -2.8595e-01  2.8339e+00 -7.7870e+00  5.6383e+00  1.0023e+01  1.0000e+00
 4.4540e-01  9.0729e-01  3.8791e-01  4.9194e+00 -7.7927e+00  2.1041e+00  9.4527e+00  1.0000e+00
-3.0709e+00 -3.5350e+00  5.9261e+00 -8.3779e+00 -1.1955e+01  1.6325e+01  2.1900e+01  1.0000e+00
-8.9164e+00  1.6852e+01 -1.7054e+01 -1.5943e+01  3.0537e+01 -3.0515e+01  4.6020e+01  1.0000e+00
-6.0899e-01  1.9144e+01 -8.4833e+00 -1.2316e+00  3.3854e+01 -1.4882e+01  3.7001e+01  1.0000e+00
-4.6806e+00  2.6223e+00 -7.3941e+00 -8.1826e+00  5.4774e+00 -1.0430e+01  1.4343e+01  1.0000e+00
 6.1441e+00 -1.4994e+01  2.8870e+00  1.0097e+01 -2.6380e+01  4.7955e+00  2.8650e+01  1.0000e+00
 3.9811e+01 -1.0394e+01 -3.8403e+01  7.5256e+01 -1.9839e+01 -7.2627e+01  1.0645e+02  1.0000e+00
 1.1505e+00 -2.3226e+01 -3.0638e+01  2.1759e+00 -4.2179e+01 -5.5611e+01  6.9831e+01  1.0000e+00
-8.3462e-02  9.2143e-01  8.8952e-02  1.1182e+00 -7.9899e+00  7.2157e+00  1.0824e+01  1.0000e+00
 3.9394e-02  5.7982e-01 -7.4512e-02 -2.2557e+00  6.6265e-01 -1.4135e+01  1.4329e+01  1.0000e+00
-3.6212e-01  8.4439e-01  2.7755e-01 -7.5046e+00  1.3361e+01  1.0628e+01  1.8649e+01  1.0000e+00
-3.7727e-01  9.8579e-01  1.7781e-03 -1.3993e-01 -1.1048e+01 -1.8160e+01  2.1257e+01  1.0000e+00
-1.3712e-01  1.0086e+00  5.9918e-01 -7.3578e+00  1.7060e+00 -3.0101e+00  8.1307e+00  1.0000e+00
-1.0016e-01  1.1370e+00  7.4340e-02  8.4040e+00 -9.4310e+00  4.8783e+00  1.3541e+01  1.0000e+00
-6.3684e-01  6.1136e-01  4.4597e-01  6.5552e-02  1.1740e+01  7.0619e+00  1.3700e+01  1.0000e+00
 1.4359e-02  2.7213e+00 -1.1582e+00  3.6061e+00 -5.2019e-01  5.8761e-01  3.6905e+00  1.0000e+00
-1.6037e+01  3.0718e+01 -3.8720e+01 -2.8532e+01  5.4681e+01 -6.7946e+01  9.1764e+01  1.0000e+00
-6.7555e-01  5.3526e-01  4.3586e-01 -3.6399e+00 -4.0235e+00 -7.1770e+00  8.9971e+00  1.0000e+00
 1.1639e+01 -2.6066e+00  9.7841e+00  1.9584e+01 -4.1003e+00  1.6615e+01  2.6008e+01  1.0000e+00
 6.4518e+00  5.9667e+00  7.7036e-01  8.6070e+00  8.4216e+00  2.0968e+00  1.2223e+01  1.0000e+00
 3.0569e+00  8.8655e-01 -5.8369e-01  1.8953e+00  1.1858e+00 -2.4081e+00  3.2859e+00  1.0000e+00
-6.2382e-01  8.6622e-01  4.1046e-01  5.1888e-01 -1.1973e+01 -1.6868e+01  2.0691e+01  1.0000e+00
 2.3385e+00 -6.8624e+00  2.2252e+01  4.3112e+00 -1.2024e+01  3.9667e+01  4.1673e+01  1.0000e+00
 2.1522e+01  1.0410e+01  1.7045e+00  3.8820e+01  1.8612e+01  3.1445e+00  4.3166e+01  1.0000e+00
 1.4473e+00 -1.3864e+01  2.2690e+00  3.2463e+00 -2.3762e+01  4.2179e+00  2.4351e+01  1.0000e+00
 4.8659e-03  7.0274e-01  7.2606e-02 -2.2080e+00  8.5398e-01 -8.9936e+00  9.2999e+00  1.0000e+00
 2.6517e+00 -1.5555e+00 -1.8730e-02  3.4949e-01  4.5408e+00  2.3474e+00  5.1236e+00  1.0000e+00
 9.6030e+00 -3.7248e+00  4.3103e+00  1.4666e+01 -5.7122e+00  7.1039e+00  1.7268e+01  1.0000e+00
-1.7782e-01  8.6560e-01  9.5452e-03 -4.8192e+00  1.6440e+01  9.9203e+00  1.9797e+01  1.0000e+00
-4.6687e-02  8.7171e-01  1.1049e-01 -2.1593e+01  9.3691e+00  1.3834e+01  2.7303e+01  1.0000e+00
-2.7703e-01  9.5267e-01  4.3798e-01  1.4307e+01  9.2911e-01 -1.7535e+01  2.2650e+01  1.0000e+00
-2.9314e+00 -4.6237e+00  4.6444e+00 -3.4064e+00 -5.2810e+00  5.7662e+00  8.5289e+00  1.0000e+00
-4.1924e-01  4.6674e-01 -5.4891e-02  2.2532e+00 -4.3892e+00 -2.8088e+00  5.6773e+00  1.0000e+00
-1.2111e-01  2.6165e+00  2.3433e+00  2.3895e+00  1.5426e+01  1.6992e+01  2.3074e+01  1.0000e+00
-3.7246e-01  8.4298e-01  1.8478e-01 -1.5720e+00  1.9428e+00  1.2116e+01  1.2371e+01  1.0000e+00
-1.3779e-01  1.0230e+00  2.4792e-01 -4.7566e+00 -3.6206e-01 -1.2149e+01  1.3052e+01  1.0000e+00
-5.4792e-01  1.0211e+00 -5.8365e-02  5.5492e+00  2.3523e-01  1.5275e+01  1.6253e+01  1.0000e+00
-5.7752e-01  5.8426e-01  3.0313e-01 -5.4706e-01 -1.3126e-01 -6.4001e+00  6.4247e+00  1.0000e+00
 5.3837e+00 -2.9276e+00  1.5948e+01  9.0383e+00 -5.4187e+00  2.7830e+01  2.9758e+01  1.0000e+00
-1.8745e-01  6.8128e-01  9.3643e-03  1.3450e+00  2.2664e+01  3.9284e-02  2.2704e+01  1.0000e+00
-2.9093e+00 -4.6607e+00  2.2921e+00 -7.5506e+00 -1.5168e+01  6.0189e+00  1.7981e+01  1.0000e+00
 9.8174e+00  9.4755e-01 -4.7403e+00  1.8345e+01  1.9903e+00 -8.7530e+00  2.0424e+01  1.0000e+00
 3.2776e-01  3.2534e-01  1.9275e-01 -7.3231e+00  4.2162e+00  4.8946e+00  9.7653e+00  1.0000e+00
-3.7332e-01  8.0866e-01  1.8016e-01 -1.6729e+01  3.3151e+01 -4.6939e+00  3.7428e+01  1.0000e+00
-8.7676e-02  6.6546e-01  3.9105e-01  1.7205e+01  2.1900e+00 -1.9131e+01  2.5823e+01  1.0000e+00
-3.2889e-01  8.7992e-01  3.5563e-01  9.2944e+00 -1.4844e+01 -3.6894e+00  1.7898e+01  1.0000e+00
 3.6827e-02  9.0858e-01  1.3488e-01  4.2806e+00 -6.8192e-01 -3.9735e+00  5.8802e+00  1.0000e+00
 2.0627e-01  1.0973e+00  2.2070e-01 -1.7153e+00 -4.1610e+00 -8.4981e+00  9.6163e+00  1.0000e+00
-2.3206e-01  1.0675e+00  2.9636e-01 -1.0215e+01 -2.7015e+00 -6.2838e+00  1.2294e+01  1.0000e+00
 1.9167e+01  2.1482e+00  3.4963e+00  3.3964e+01  3.4283e+00  6.0688e+00  3.4672e+01  1.0000e+00
 1.1065e-01  1.0481e+00 -1.9596e-03  5.1512e+00  5.6612e+00 -6.1584e+00  9.8240e+00  1.0000e+00
-1.2774e-01  9.2723e-01  2.2319e-01  1.2123e+01  2.7777e+01 -1.3415e+01  3.3144e+01  1.0000e+00
 4.0637e-01  1.3779e+00  1.0971e+00  4.4540e+00  3.3498e+00  8.1842e+00  9.9015e+00  1.0000e+00
-4.9042e-01  9.3861e-01  2.0263e-01 -7.6904e+00  1.8353e+01 -1.8934e+00  1.9989e+01  1.0000e+00
-2.0473e-01  1.3333e+00 -4.6462e-02 -5.1460e+00  6.7377e+00 -8.0198e+00  1.1670e+01  1.0000e+00
