# limit = 8.64163
#
# x           y           z           vx          vy          vz          s           m
 5.8019e-01 -1.9620e+00 -1.1514e+00 -2.4832e+00 -2.1143e+00  3.2001e+00  4.5691e+00  1.0000e+00
-3.7096e-01  3.8114e-01  3.4164e-01 -1.1687e+01  4.2627e-01  1.3237e+01  1.7663e+01  1.0000e+00
 8.9742e+00  2.4680e-01  1.7517e+00  3.4915e+01  1.7960e+00  6.8753e+00  3.5630e+01  1.0000e+00
-1.3154e-01  5.4681e-01  1.6961e-01  1.8024e+01 -1.3690e+01 -1.2185e+01  2.5705e+01  1.0000e+00
-7.4506e+00  2.8870e+00  4.5798e+00 -2.9922e+01  1.1118e+01  1.7695e+01  3.6497e+01  1.0000e+00
 3.1792e+00 -1.1474e+00  9.2729e+00  1.3073e+01 -3.8580e+00  3.6861e+01  3.9300e+01  1.0000e+00
 6.2870e-01 -7.5679e+00 -5.3365e+00  1.7728e+00 -3.0130e+01 -2.0538e+01  3.6507e+01  1.0000e+00
-5.4469e-01  1.7572e+00  9.5326e-01  1.8427e-01 -1.2238e+00  7.9182e-02  1.2401e+00  1.0000e+00
-1.2235e+01  8.8561e+00  2.6953e+01 -4.5569e+01  3.3403e+01  1.0469e+02  1.1896e+02  1.0000e+00
 1.2513e+00 -3.7712e-01  9.9025e-03  1.1597e+02 -6.2807e+01  3.0471e+00  1.3192e+02  1.0000e+00
 2.2053e+00  2.5040e+00  1.8029e+00  4.2527e+00  6.5862e+00  3.7268e+00  8.6806e+00  1.0000e+00
-2.6810e-01  6.1468e-01  3.1470e-01 -3.4032e+00 -1.0300e+01 -6.7924e-01  1.0869e+01  1.0000e+00
 6.6222e-01  5.5007e-01  1.2797e+00 -4.6066e+00 -4.5967e+00 -6.4457e+00  9.1596e+00  1.0000e+00
 2.6018e+00  3.7218e-01 -7.0287e-01  1.1974e+01  3.2754e+00 -1.4516e+00  1.2499e+01  1.0000e+00
-1.4214e-01  6.2122e-01  3.1426e-01  9.1559e+00  1.5048e+01  1.1251e+01  2.0901e+01  1.0000e+00
-3.5041e+00 -3.9198e-01 -3.0928e+00 -1.2426e+01 -2.5860e+00 -8.2851e+00  1.5157e+01  1.0000e+00
 5.4320e+00 -5.6532e+00 -6.3991e+00  2.1445e+01 -2.2435e+01 -2.5897e+01  4.0422e+01  1.0000e+00
-3.1774e-01  4.7096e-01  3.9129e-01 -3.5740e+00  2.6009e+00  1.1558e+01  1.2374e+01  1.0000e+00
-3.7823e-01  5.8085e-01  9.5128e-02 -4.3170e+00  1.9548e+00 -2.4800e+01  2.5249e+01  1.0000e+00
 1.8868e+01  1.5646e+01 -6.9028e+00  7.3512e+01  5.8964e+01 -2.5236e+01  9.7558e+01  1.0000e+00
-4.1602e-01  3.3073e-01 -2.0820e-01 -4.1711e+00 -7.2206e+00 -4.1838e+00  9.3295e+00  1.0000e+00
 4.7127e-02  3.4447e-01  2.5676e-01 -1.1863e+01 -3.6192e+00  1.1471e+01  1.6894e+01  1.0000e+00
-1.6826e-01  5.7550e-01  1.1309e-01 -1.8521e+00  1.6933e+00  1.7623e+01  1.7800e+01  1.0000e+00
-4.0125e+00  7.4564e+00 -7.6605e+00 -1.6098e+01  3.0866e+01 -3.0860e+01  4.6521e+01  1.0000e+00
-2.3435e-01  8.6916e+00 -3.8869e+00 -1.2042e+00  3.4516e+01 -1.5194e+01  3.7731e+01  1.0000e+00
-2.0276e+00  8.8221e-01 -3.9274e+00 -9.3775e+00  5.9623e+00 -1.2739e+01  1.6905e+01  1.0000e+00
 3.0059e+00 -6.8135e+00  1.3962e+00  1.0477e+01 -2.7224e+01  4.9819e+00  2.9593e+01  1.0000e+00
 1.6737e+01 -4.3110e+00 -1.6135e+01  7.5326e+01 -1.9857e+01 -7.2694e+01  1.0655e+02  1.0000e+00
 4.8241e-01 -1.0283e+01 -1.3571e+01  2.1850e+00 -4.2315e+01 -5.5798e+01  7.0063e+01  1.0000e+00
-1.4722e-01  4.4979e-01  4.8600e-02 -5.4328e+00 -7.6178e+00 -2.5483e+01  2.7146e+01  1.0000e+00
-3.3982e-01  3.9291e-01  2.7971e-01  7.1971e+00 -1.8356e+01 -3.3065e+00  1.9992e+01  1.0000e+00
-2.6413e-01  6.4383e-01  3.7817e-01  2.0746e+00  2.0230e+01  1.1108e+00  2.0367e+01  1.0000e+00
-9.2878e-02  3.1674e-01 -2.1257e-01 -4.7809e+00 -4.4962e+00  1.4225e+01  1.5666e+01  1.0000e+00
 1.6959e-01  4.5430e-01 -3.9467e-01  1.4601e+00 -6.5652e+00  7.8288e+00  1.0321e+01  1.0000e+00
-3.9743e-02  3.8526e-01  2.8802e-02 -5.4774e+00  3.5793e+00 -1.0004e+01  1.1954e+01  1.0000e+00
-3.9031e-01  2.7488e-01 -1.2628e-01 -7.3243e+00  1.9453e+00  2.0440e+01  2.1800e+01  1.0000e+00
 3.9005e-01 -8.5597e-02  1.7382e-01 -2.0028e+01  5.4808e+00  6.9170e+00  2.1886e+01  1.0000e+00
-7.2869e+00  1.3947e+01 -1.7884e+01 -2.8571e+01  5.4758e+01 -6.8041e+01  9.1893e+01  1.0000e+00
-7.1101e-01  2.4600e-01 -7.5770e-01  1.3781e+00  2.0555e+00  2.0974e+00  3.2440e+00  1.0000e+00
 5.5370e+00 -1.3251e+00  4.6149e+00  2.0437e+01 -4.3054e+00  1.7278e+01  2.7106e+01  1.0000e+00
 3.5460e+00  3.1720e+00  1.1920e-01  1.0787e+01  1.0163e+01  2.1232e+00  1.4972e+01  1.0000e+00
 3.6706e-01  4.4480e-01  3.7299e-01  2.8405e+01  1.9497e+00 -3.5032e-01  2.8474e+01  1.0000e+00
-3.7422e-01  4.3000e-01  1.0741e-01  1.2378e+01  1.3851e+01 -7.8159e+00  2.0153e+01  1.0000e+00
 1.0150e+00 -3.1550e+00  1.0026e+01  4.3291e+00 -1.2217e+01  4.0240e+01  4.2275e+01  1.0000e+00
 9.5722e+00  4.6633e+00  7.3615e-01  3.9279e+01  1.8973e+01  3.1844e+00  4.3737e+01  1.0000e+00
 4.5175e-01 -6.4580e+00  9.4848e-01  3.2382e+00 -2.4831e+01  4.4504e+00  2.5434e+01  1.0000e+00
-3.6889e-01  5.2625e-01  1.2087e-01 -1.9508e+00 -1.5787e+01 -1.1455e+01  1.9602e+01  1.0000e+00
 1.8711e+00 -2.0682e+00 -5.1207e-01  4.9330e+00 -1.5703e+00  7.9531e-01  5.2377e+00  1.0000e+00
 4.9033e+00 -1.8661e+00  2.0957e+00  1.6417e+01 -6.5545e+00  7.4401e+00  1.9179e+01  1.0000e+00
-8.8341e-01  5.5561e-01  4.7743e-01  1.0560e+01 -1.4734e+00  7.8509e+00  1.3241e+01  1.0000e+00
-1.7754e-01  4.6366e-01  1.1038e-01  1.6477e+01 -1.6072e+01 -3.5888e+01  4.2635e+01  1.0000e+00
-3.8591e-01  6.0949e-01  4.8101e-02 -1.4544e+01  1.3140e+01 -1.1522e+01  2.2737e+01  1.0000e+00
-1.7411e+00 -2.7051e+00  2.6486e+00 -4.5841e+00 -7.6493e+00  7.6030e+00  1.1719e+01  1.0000e+00
-8.1761e-02  2.7650e-01 -6.9475e-02 -2.4515e+00  1.6245e+01  1.1354e+01  1.9970e+01  1.0000e+00
-3.4971e-01  5.7014e-01 -3.4975e-02 -1.2746e+01  4.7276e+00  6.2831e+00  1.4976e+01  1.0000e+00
-4.7597e-01  3.5905e-01  4.9242e-01  1.2922e+01 -3.6116e+00  1.3802e+01  1.9249e+01  1.0000e+00
-3.2507e-01  1.8836e-01 -1.1817e-01 -8.6430e+00  1.0970e+00  5.7858e+00  1.0459e+01  1.0000e+00
-1.9064e-01  5.3411e-01 -9.6984e-03 -5.0531e+00 -1.5197e+01  8.8873e-01  1.6040e+01  1.0000e+00
 1.9671e-01  1.1809e-01  5.4069e-02 -4.1096e+00  9.4239e+00  8.0052e+00  1.3030e+01  1.0000e+00
 2.5831e+00 -1.2553e+00  7.3180e+00  9.3030e+00 -5.5138e+00  2.8685e+01  3.0655e+01  1.0000e+00
-1.6363e-01  3.6102e-01  1.0704e-01 -4.3857e+00  2.3088e+01 -7.1871e+00  2.4575e+01  1.0000e+00
-1.9152e-01  9.5166e-01  7.0132e-02 -2.3092e+00 -4.9974e+00  6.3013e+00  8.3674e+00  1.0000e+00
 3.9827e+00  3.2457e-01 -1.9432e+00  2.0275e+01  2.0972e+00 -9.8072e+00  2.2620e+01  1.0000e+00
-1.4142e-01  1.4747e-01  3.3195e-01 -7.4842e+00  1.7232e+01  7.4238e+00  2.0201e+01  1.0000e+00
 2.0669e+00 -6.6049e-01  6.9753e-01 -8.2834e-01 -5.9433e-01  5.8561e-01  1.1757e+00  1.0000e+00
-2.8008e-01  6.8492e-01 -3.0778e-01 -3.4985e+00  7.1012e+00 -2.7317e+00  8.3743e+00  1.0000e+00
-5.9348e-02  6.6401e-01  4.3424e-02  4.2524e+00 -1.3092e+01 -1.2781e+01  1.8784e+01  1.0000e+00
 4.4293e-02  3.8474e-01  2.7776e-01  8.8435e-01 -1.5662e+01  1.3669e+00  1.5746e+01  1.0000e+00
 1.7075e-01  5.1466e-01  4.8722e-01 -3.8870e-01  5.3289e+00 -1.7385e+00  5.6188e+00  1.0000e+00
-4.5261e-01  1.0580e+00  2.5919e-01 -7.7391e+00  1.7753e+01  5.3710e+00  2.0097e+01  1.0000e+00
 8.6828e+00  1.0617e+00  1.6273e+00  3.4619e+01  3.7119e+00  6.1641e+00  3.5358e+01  1.0000e+00
-2.3608e-01  5.3447e-01  1.4238e-01  1.0700e+01  5.8006e-01  1.0913e+01  1.5295e+01  1.0000e+00
-3.9208e-01  6.4898e-01  1.8816e-01  1.4524e+01 -2.4367e+01  6.8494e+00  2.9182e+01  1.0000e+00
 1.8199e-01  5.8342e-01  7.3454e-03 -1.9073e+01  2.8387e+00  1.6018e+01  2.5068e+01  1.0000e+00
-3.1400e-01  3.0710e-01  2.6853e-01  4.9698e+00 -1.8326e+01  1.3245e+01  2.3151e+01  1.0000e+00
-1.8717e-01  3.2502e-01  2.1579e-01 -3.4567e+00  7.1349e+00 -6.7452e+00  1.0409e+01  1.0000e+00
-1.3985e-01  7.2996e-01 -9.3684e-02  4.6221e-01 -1.2836e+01 -9.2790e+00  1.5846e+01  1.0000e+00
-6.6339e-01  1.6674e+00  1.4456e-02 -2.8796e+00  8.3582e+00 -4.4684e+00  9.9054e+00  1.0000e+00
 1.0243e+01 -5.0313e+00 -1.2121e+00  4.1962e+01 -1.9777e+01 -4.7853e+00  4.6635e+01  1.0000e+00
-6.2202e+00 -3.9311e+00 -2.5034e+00 -2.4193e+01 -1.4559e+01 -9.0427e+00  2.9649e+01  1.0000e+00
-1.8593e-01  2.1902e-01  1.3249e-01 -1.7232e+01  4.1287e+00 -4.6614e+00  1.8323e+01  1.0000e+00
 3.7522e+00  1.1197e+00  2.5421e+00  3.3598e+01  7.2204e+00  2.1438e+01  4.0504e+01  1.0000e+00
 1.3773e+00 -6.4568e-01 -9.5720e-01 -4.2472e-01  1.1904e+00  2.4171e+00  2.7276e+00  1.0000e+00
 2.7298e+00  2.0798e+00  3.3520e+00  7.5353e+00  7.4251e+00  1.0087e+01  1.4617e+01  1.0000e+00
-1.0944e-01  5.3860e-01  1.3390e-01  1.2419e+01 -2.6017e+00  1.1761e+01  1.7301e+01  1.0000e+00
-8.3736e-02  2.3721e-01  3.4758e-01 -5.3558e+00 -2.3147e-01 -2.0752e+00  5.7485e+00  1.0000e+00
-6.9504e-01  8.9146e-01  6.4596e-01 -2.9880e+00  4.0710e+00  6.3395e+00  8.1050e+00  1.0000e+00
 1.8473e+00 -1.2332e+00  1.8014e+00  1.7354e-01 -1.9277e+00  3.3308e+00  3.8523e+00  1.0000e+00
