# limit = 2.97706
#
# x           y           z           vx          vy          vz          s           m
 8.0471e-01 -1.0413e+00 -1.3836e+00  1.8412e+00 -7.3179e+00 -1.5371e+00  7.7009e+00  1.0000e+00
-2.0024e-01  1.7586e-02  1.0997e-01  3.6745e+01  6.2714e+00 -2.6725e+00  3.7372e+01  1.0000e+00
 2.7703e+00 -3.7631e-02  5.2805e-01  3.7880e+01  1.4052e+00  7.4805e+00  3.8637e+01  1.0000e+00
-8.6318e-02  2.4586e-01  1.2658e-01 -7.1889e-01  4.9814e+00 -5.5096e+00  7.4624e+00  1.0000e+00
-2.1434e+00  9.0500e-01  1.4293e+00 -3.2368e+01  1.2200e+01  1.9340e+01  3.9630e+01  1.0000e+00
 8.8273e-01 -4.3606e-01  2.7462e+00  1.3781e+01 -4.5554e+00  3.9688e+01  4.2259e+01  1.0000e+00
 2.5796e-01 -2.2158e+00 -1.6767e+00  2.8437e+00 -3.2513e+01 -2.2500e+01  3.9641e+01  1.0000e+00
 4.4302e-02 -4.0013e-01 -1.0383e-01 -6.1134e+00  1.4352e+01 -1.2512e+00  1.5650e+01  1.0000e+00
-4.3425e+00  3.0709e+00  8.8227e+00 -4.5680e+01  3.3485e+01  1.0493e+02  1.1924e+02  1.0000e+00
-9.7697e-02  1.8204e-02  1.1275e-01 -1.4975e+01  2.1085e+00  3.4863e+00  1.5519e+01  1.0000e+00
 1.0709e+00  9.9823e-01  8.7745e-01  1.0524e+01  1.2218e+01  8.1558e+00  1.8071e+01  1.0000e+00
 7.8760e-02  3.9184e-01 -9.4175e-02  8.1611e+00 -1.1669e-01 -4.8158e-01  8.1761e+00  1.0000e+00
 4.9340e-01  8.5293e-01  9.3955e-01  6.3407e+00  3.2640e+00  1.0910e+01  1.3034e+01  1.0000e+00
-1.7573e-01  3.9291e-01  2.5634e-01 -1.4208e+01  4.0220e-01  4.3279e+00  1.4858e+01  1.0000e+00
 4.8136e-02  1.0706e-01  2.6155e-01  6.2699e+00  2.4746e+00 -1.1276e+01  1.3138e+01  1.0000e+00
-1.0594e+00  8.3568e-02 -1.3406e+00 -1.7293e+01 -2.9256e+00 -1.3938e+01  2.2403e+01  1.0000e+00
 1.6299e+00 -1.6965e+00 -1.8328e+00  2.3218e+01 -2.3838e+01 -2.7504e+01  4.3171e+01  1.0000e+00
-3.2572e-01  1.5928e-02  5.8729e-02 -1.1942e+01  2.8091e+01 -9.7792e-01  3.0540e+01  1.0000e+00
-7.9343e-03  3.0006e-01  2.6863e-01  1.1831e+01  4.1086e+00 -1.5140e+01  1.9649e+01  1.0000e+00
 6.1302e+00  5.4279e+00 -2.5295e+00  7.3798e+01  5.9211e+01 -2.5347e+01  9.7952e+01  1.0000e+00
-2.9294e-01  2.8465e-02  1.3257e-01  2.2456e+01 -3.3501e+00 -3.5007e+00  2.2972e+01  1.0000e+00
-1.6448e-02  2.1544e-01 -8.0095e-02  9.7334e+00  1.7379e+01 -1.5116e+01  2.5006e+01  1.0000e+00
-1.4227e-01 -3.4887e-02  4.8460e-02 -1.0503e+01  4.0411e+00  8.9130e+00  1.4356e+01  1.0000e+00
-1.1893e+00  2.0396e+00 -2.2393e+00 -1.6821e+01  3.2295e+01 -3.2419e+01  4.8753e+01  1.0000e+00
-3.4946e-02  2.5714e+00 -1.1873e+00 -1.0067e+00  3.7266e+01 -1.6506e+01  4.0770e+01  1.0000e+00
-2.3410e-01 -1.8515e-01 -1.2430e+00 -1.1876e+01  5.9050e+00 -2.1699e+01  2.5431e+01  1.0000e+00
 1.1065e+00 -1.9243e+00  4.8558e-01  1.2112e+01 -3.0524e+01  5.9135e+00  3.3368e+01  1.0000e+00
 3.6784e+00 -8.6926e-01 -3.5319e+00  7.5829e+01 -1.9967e+01 -7.3177e+01  1.0725e+02  1.0000e+00
 1.0301e-01 -2.9280e+00 -3.8712e+00  2.2022e+00 -4.2944e+01 -5.6634e+01  7.1109e+01  1.0000e+00
-1.0685e-01  5.9677e-02  1.2504e-01  1.9243e+01 -9.5434e+00 -1.2509e+01  2.4856e+01  1.0000e+00
-1.8062e-01  1.6282e-01  1.5070e-01  1.2209e+01  1.2925e+01 -4.7404e+00  1.8401e+01  1.0000e+00
-1.7196e-01  1.8784e-01  1.2754e-01 -1.2488e+01 -7.0118e+00  7.4280e+00  1.6133e+01  1.0000e+00
-2.8730e-01  6.5565e-02  3.8309e-01 -2.0854e+00  1.6414e+00  1.5742e+01  1.5964e+01  1.0000e+00
 3.0994e-02  1.0776e-01  1.2027e-01  1.0784e+01 -2.1446e+00 -5.5309e+00  1.2308e+01  1.0000e+00
 3.0673e-02  4.2801e-02 -5.2411e-02 -1.1151e+01 -3.1765e-01 -1.4973e+01  1.8672e+01  1.0000e+00
-1.1750e-01  1.9330e-01 -1.7397e-01 -2.2769e+01  1.0927e+01  1.3699e+01  2.8731e+01  1.0000e+00
 1.6193e+00  2.6281e-01 -6.1324e-01  7.3965e-01 -1.9845e+00  3.3494e-01  2.1441e+00  1.0000e+00
-2.3347e+00  4.4558e+00 -6.0889e+00 -2.8706e+01  5.5025e+01 -6.8398e+01  9.2358e+01  1.0000e+00
 1.0049e-01  1.1725e-01  7.2142e-01  3.3041e+00  4.6733e+00  1.2909e+01  1.4121e+01  1.0000e+00
 1.8274e+00 -5.4241e-01  1.4921e+00  2.3572e+01 -4.9800e+00  1.9653e+01  3.1092e+01  1.0000e+00
 1.3414e+00  1.1458e+00 -2.1994e-01  1.6386e+01  1.4611e+01  1.3792e+00  2.1997e+01  1.0000e+00
-5.9766e-01  2.5964e-01  3.2131e-01  1.0916e+01  1.7189e+00  5.9132e+00  1.2533e+01  1.0000e+00
-2.2191e-01  4.7413e-02  1.3255e-01 -3.4257e+01  4.8352e+00  1.8569e+01  3.9265e+01  1.0000e+00
 2.6201e-01 -9.9686e-01  2.9344e+00  4.3924e+00 -1.3047e+01  4.2640e+01  4.4808e+01  1.0000e+00
 2.6674e+00  1.3000e+00  1.7674e-01  4.1349e+01  2.0483e+01  3.3314e+00  4.6264e+01  1.0000e+00
-9.7564e-02 -1.9334e+00  1.4063e-01  2.9517e+00 -2.9049e+01  5.0271e+00  2.9628e+01  1.0000e+00
 1.2743e-01  2.5375e-03  3.5324e-02  3.4298e+00  5.9615e+00  1.5238e+01  1.6719e+01  1.0000e+00
 6.7933e-01 -1.2119e+00 -4.8555e-01  9.5571e+00 -1.0538e+01 -1.8841e+00  1.4350e+01  1.0000e+00
 1.7421e+00 -6.2504e-01  7.2069e-01  2.1923e+01 -8.2813e+00  9.1793e+00  2.5168e+01  1.0000e+00
-2.3689e-01  8.7439e-02  9.5754e-01  6.9367e+00 -1.6152e+00  2.8344e+00  7.6656e+00  1.0000e+00
-2.3592e-02  9.9639e-02 -3.3892e-02  3.4414e-01 -7.1130e+00  1.4801e+01  1.6425e+01  1.0000e+00
-1.7408e-01  2.3090e-01 -3.3631e-02  1.9644e+01 -1.1823e+00 -1.9800e+01  2.7917e+01  1.0000e+00
-7.6857e-01 -1.0426e+00  1.0583e+00 -7.6261e+00 -1.3240e+01  1.2200e+01  1.9552e+01  1.0000e+00
-5.2924e-01  1.8403e-01 -1.0415e-01 -7.7937e+00  4.5827e+00  2.5788e+00  9.4018e+00  1.0000e+00
 7.6093e-02 -5.3799e-01 -3.4489e-01 -5.5921e+00  7.2248e+00 -7.8977e+00  1.2077e+01  1.0000e+00
-4.6125e-01  1.0981e-01 -3.3097e-02  7.3297e-01 -3.2545e-01  1.7956e+01  1.7974e+01  1.0000e+00
 2.2480e-02  1.5317e-01  3.0835e-03  3.8797e-01  1.9940e+01 -2.1803e+01  2.9549e+01  1.0000e+00
-3.7702e-01  5.7526e-01 -1.4284e-01  5.2599e-01 -1.2547e+01  1.1432e+01  1.6982e+01  1.0000e+00
 2.6897e-02  1.8502e-01  2.0942e-02  1.6238e+01  1.2472e+01 -4.2520e+00  2.0911e+01  1.0000e+00
 9.1091e-01 -2.8378e-01  2.1750e+00  1.0504e+01 -5.8039e+00  3.1989e+01  3.4166e+01  1.0000e+00
-1.3609e-01  6.3554e-02 -1.7347e-02  1.4441e+01 -1.1031e+01 -2.2575e+01  2.8981e+01  1.0000e+00
-1.3640e-01  4.4194e-01  1.0397e-01 -1.3704e+01  1.2862e+01  1.7824e+01  2.5902e+01  1.0000e+00
-1.9304e-01  7.0476e-02  6.8521e-02 -9.4317e+00  2.1681e+00  1.1842e+01  1.5294e+01  1.0000e+00
-3.3525e-02  1.7745e-01  2.0494e-02  7.1318e+00 -4.6467e+00 -5.8404e-01  8.5320e+00  1.0000e+00
 1.3464e+00 -4.0727e-01  3.5898e-01  1.1894e+01 -1.9051e+00  4.0700e+00  1.2714e+01  1.0000e+00
 2.2980e-01 -1.6656e-01 -3.5630e-02 -6.7451e+00  5.2441e+00 -6.7235e+00  1.0872e+01  1.0000e+00
-1.6455e-01 -5.2886e-02  1.5799e-01  1.6113e+01  3.0584e+00  9.3918e+00  1.8900e+01  1.0000e+00
-5.2658e-02  1.7526e-01  5.3642e-02 -2.7817e+00 -3.0241e+01  1.7419e+01  3.5010e+01  1.0000e+00
-3.9637e-01  1.8615e-01 -9.2265e-02  1.7437e+01  2.4235e-01 -2.3607e+00  1.7598e+01  1.0000e+00
-3.9634e-01  7.0955e-02 -1.3997e-01 -2.1057e+01  8.4266e+00 -1.0498e+01  2.4992e+01  1.0000e+00
 2.5426e+00  3.7953e-01  5.2892e-01  3.7448e+01  4.3724e+00  6.8076e+00  3.8312e+01  1.0000e+00
-9.3874e-02  1.4460e-01  6.1466e-03 -6.5957e+00  1.5626e+01 -2.0471e+01  2.6584e+01  1.0000e+00
-2.3198e-01  5.8232e-01 -2.1329e-01  3.2266e-01 -1.1163e+01  8.0335e+00  1.3757e+01  1.0000e+00
-1.3494e-01  3.1923e-01  1.4683e-01 -1.5817e+01  2.8370e+01  1.9491e+01  3.7881e+01  1.0000e+00
 9.3996e-02  7.8112e-02  2.1045e-01 -7.7031e+00 -2.4641e+00 -3.2927e+01  3.3906e+01  1.0000e+00
-4.2880e-02  1.7390e-01  7.9517e-02  1.8848e+00  2.7080e+01  1.0948e+01  2.9271e+01  1.0000e+00
-2.1778e-01  2.9496e-01 -1.5481e-02  3.1990e+00  1.3449e+01  9.1205e-01  1.3855e+01  1.0000e+00
 2.2534e-01 -4.8406e-01 -7.8496e-01  4.1969e-01 -4.0670e+00  5.6808e-01  4.1279e+00  1.0000e+00
 2.8820e+00 -1.5483e+00 -3.6611e-01  4.3848e+01 -2.0937e+01 -5.1195e+00  4.8859e+01  1.0000e+00
-1.9044e+00 -1.2749e+00 -8.8210e-01 -2.6640e+01 -1.7081e+01 -1.0206e+01  3.3251e+01  1.0000e+00
-1.1366e-01  1.7532e-01  2.6165e-01 -4.9054e+00  5.8657e+00  1.8176e+01  1.9719e+01  1.0000e+00
-1.9830e-01  6.3638e-02  2.5044e-01 -4.8556e+00  1.0267e+01 -9.0587e+00  1.4527e+01  1.0000e+00
 6.7823e-01 -3.5707e-01 -6.5935e-01  1.0759e+01 -5.4964e+00 -8.2507e+00  1.4631e+01  1.0000e+00
 1.1487e+00  6.3234e-01  1.3100e+00  1.2021e+01  1.0039e+01  1.5297e+01  2.1893e+01  1.0000e+00
-1.5814e-01  1.2176e-01 -6.7756e-02  2.0482e+01 -1.0234e+00  1.2296e+01  2.3911e+01  1.0000e+00
-8.1915e-02 -5.0452e-03  3.7756e-02 -1.0262e+01  1.1751e+01  2.7764e+01  3.1847e+01  1.0000e+00
-2.8125e-01  7.5519e-01 -7.2885e-01 -1.5433e+00  5.0784e+00  1.2504e+00  5.4530e+00  1.0000e+00
 8.6613e-01 -6.1848e-01  7.3428e-01  1.0089e+01 -9.5945e+00  9.5805e+00  1.6901e+01  1.0000e+00
-2.1240e-02  3.5930e-01  2.6486e-01  4.8102e+00 -1.1868e+01 -2.8311e+00  1.3115e+01  1.0000e+00
 8.5120e-02  9.7412e-02  9.2127e-02 -4.2400e+00  2.9527e+01  9.5742e+00  3.1328e+01  1.0000e+00
 8.2186e-01 -6.3937e-01  7.9526e-01  1.1388e+01 -4.3955e+00  1.1301e+01  1.6635e+01  1.0000e+00
-7.7391e-02  2.3449e-01  6.4193e-02  6.5933e+00  6.7484e+00  1.5606e+01  1.8236e+01  1.0000e+00
-1.7044e-02 -3.3252e-03  5.5751e-02 -1.2376e+01  3.0833e+01  1.1114e+00  3.3242e+01  1.0000e+00
-1.2582e-01  2.3670e-02  5.6710e-02 -2.6125e+01 -6.8157e+00  1.2480e+00  2.7028e+01  1.0000e+00
-7.3247e-01  1.1856e+00 -3.7980e-02 -6.0160e+00  8.2256e+00  2.8020e+00  1.0569e+01  1.0000e+00
-1.2740e-01  1.8235e-01  1.3481e-01 -1.9797e+01  8.7689e+00  1.8441e+01  2.8441e+01  1.0000e+00
-1.5423e-01  2.4606e-01  1.7690e-01 -3.7660e+00  1.3493e+01 -2.6550e+01  3.0019e+01  1.0000e+00
-1.0480e+00 -1.6330e+00 -1.8025e+00 -1.4725e+01 -2.1399e+01 -2.3839e+01  3.5257e+01  1.0000e+00
 2.8082e-01 -7.4078e-01 -3.1981e+00  3.2755e+00 -6.0911e+00 -2.7039e+01  2.7909e+01  1.0000e+00
-7.2798e-01  8.4811e-01 -4.7529e-01  1.2654e+00  1.9446e+01 -1.2829e+01  2.3331e+01  1.0000e+00
-1.4244e-01  1.2676e-01  4.6186e-02 -2.4000e+01  2.2422e+00 -5.9760e+00  2.4835e+01  1.0000e+00
 1.9506e-01 -2.3471e-01  1.6731e-02  7.8619e-01  4.5974e+00  4.6263e+00  6.5694e+00  1.0000e+00
 1.0450e+00 -8.3626e-01 -6.0950e-02  1.0366e+01 -5.9450e+00 -2.4682e+00  1.2202e+01  1.0000e+00
 9.1012e-01 -5.6287e-01  3.4015e-01  5.6126e+00  2.4079e-01  2.2798e+00  6.0627e+00  1.0000e+00
 2.6186e+00  7.9429e-01 -1.5451e-02  3.6599e+01  1.4340e+01 -1.2812e+00  3.9329e+01  1.0000e+00
-1.5803e-01  3.8742e-01 -2.0286e-01 -1.6993e-02 -1.5555e+01  1.7154e+01  2.3157e+01  1.0000e+00
 1.9442e+00  5.7867e-02  2.1824e+00  2.7053e+01  1.6106e+00  3.0427e+01  4.0746e+01  1.0000e+00
-2.8781e-02  7.6788e-02  5.5680e-02 -2.4836e+01  4.6723e-01 -2.3124e+01  3.3938e+01  1.0000e+00
-5.7216e-01 -7.4076e-02  3.7903e-01 -2.6337e+00  2.1185e+01 -1.0605e+01  2.3837e+01  1.0000e+00
-2.9517e+00  4.8948e-01  6.4016e-01 -4.4091e+01  9.5131e+00  1.0067e+01  4.6216e+01  1.0000e+00
-3.4448e-01  1.4530e+00 -2.2869e-01 -5.6596e+00  1.2231e+01  1.9543e+00  1.3618e+01  1.0000e+00
 7.8256e-01 -1.2325e+00  2.0248e+00  8.8856e+00 -1.5077e+01  2.9588e+01  3.4376e+01  1.0000e+00
 9.2440e-01 -8.6669e-01  1.7988e+00  1.0927e+01 -1.1271e+01  2.3369e+01  2.8152e+01  1.0000e+00
