# limit = 21.2996
#
# x           y           z           vx          vy          vz          s           m
-5.3433e-01  1.8190e-01  7.7381e-01 -1.3078e+00  2.0079e+01  4.3536e+00  2.0587e+01  1.0000e+00
-1.0529e-01  1.0423e+00  4.6745e-01  1.9204e+00  1.3052e+01 -1.6748e+01  2.1320e+01  1.0000e+00
 2.1280e+01  9.4153e-01  4.1675e+00  3.4082e+01  2.0438e+00  6.6736e+00  3.4789e+01  1.0000e+00
-1.9856e-01  1.0089e+00  2.1968e-01  1.4840e+01 -1.0027e+01 -1.4572e+01  2.3089e+01  1.0000e+00
-1.8022e+01  6.8062e+00  1.0821e+01 -2.9317e+01  1.0864e+01  1.7300e+01  3.5733e+01  1.0000e+00
 7.8375e+00 -2.4653e+00  2.2320e+01  1.2998e+01 -3.5801e+00  3.6240e+01  3.8667e+01  1.0000e+00
 1.1836e+00 -1.8169e+01 -1.2569e+01  1.4216e+00 -2.9328e+01 -2.0024e+01  3.5540e+01  1.0000e+00
-7.2868e-01  1.4065e+00  2.3477e-01 -1.2340e+01  8.6459e+00 -2.1016e+00  1.5213e+01  1.0000e+00
-2.8536e+01  2.0806e+01  6.4404e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 4.2285e+01 -2.2600e+01  1.0996e+00  1.1448e+02 -6.2007e+01  3.0410e+00  1.3023e+02  1.0000e+00
 2.9297e+00  4.0901e+00  2.5628e+00  2.7654e-01  2.7238e+00  8.8108e-01  2.8761e+00  1.0000e+00
-5.0869e-01  1.1158e+00  2.0410e-01 -1.5997e+01  1.5298e+01 -2.2944e+00  2.2253e+01  1.0000e+00
-1.0430e+00  3.5647e+00  4.3155e-01  1.5950e+00  3.3394e+00  3.9080e+00  5.3822e+00  1.0000e+00
 5.4372e+00  1.4659e+00 -8.0022e-01  5.3648e+00  2.8249e+00  3.6312e-01  6.0740e+00  1.0000e+00
 1.7356e+00 -1.2518e+00  6.0963e-01  2.2928e+00 -2.4124e+00 -1.1504e+00  3.5214e+00  1.0000e+00
-7.4802e+00 -1.3562e+00 -5.5701e+00 -9.8616e+00 -3.3775e+00 -5.7267e+00  1.1893e+01  1.0000e+00
 1.3012e+01 -1.3602e+01 -1.5575e+01  2.1040e+01 -2.2085e+01 -2.5500e+01  3.9758e+01  1.0000e+00
-1.1157e-01  1.4285e+00  3.9980e-01  4.9147e-01 -1.1386e+01 -3.1750e+00  1.1831e+01  1.0000e+00
-2.5136e-01  9.4524e-01  8.0351e-02 -9.1653e+00  2.0680e+00  5.0118e+00  1.0649e+01  1.0000e+00
 4.5159e+01  3.6735e+01 -1.5927e+01  7.3441e+01  5.8889e+01 -2.5204e+01  9.7451e+01  1.0000e+00
-9.6266e-02  8.1688e-01  4.5170e-01  2.2024e+01  7.2677e+00  1.6599e+01  2.8520e+01  1.0000e+00
 2.0693e-01  6.0026e-01  3.7531e-01 -1.3436e+01 -1.5681e+00 -4.0649e+00  1.4124e+01  1.0000e+00
-3.4986e+00 -4.1454e+00  6.7592e+00 -8.2810e+00 -1.1816e+01  1.6122e+01  2.1636e+01  1.0000e+00
-9.7345e+00  1.8422e+01 -1.8620e+01 -1.5933e+01  3.0514e+01 -3.0491e+01  4.5985e+01  1.0000e+00
-6.7229e-01  2.0882e+01 -9.2476e+00 -1.2332e+00  3.3808e+01 -1.4860e+01  3.6950e+01  1.0000e+00
-5.0983e+00  2.9025e+00 -7.9253e+00 -8.0826e+00  5.4328e+00 -1.0256e+01  1.4143e+01  1.0000e+00
 6.6621e+00 -1.6347e+01  3.1329e+00  1.0070e+01 -2.6322e+01  4.7815e+00  2.8585e+01  1.0000e+00
 4.3676e+01 -1.1413e+01 -4.2132e+01  7.5256e+01 -1.9839e+01 -7.2627e+01  1.0645e+02  1.0000e+00
 1.2622e+00 -2.5391e+01 -3.3494e+01  2.1753e+00 -4.2169e+01 -5.5601e+01  6.9818e+01  1.0000e+00
-3.8920e-01  1.0596e+00  3.8457e-01  3.9189e+00 -7.0339e+00  1.3414e+00  8.1629e+00  1.0000e+00
-2.7096e-01  9.4710e-01 -2.6830e-01 -6.4351e+00  1.1345e+01  8.0983e+00  1.5353e+01  1.0000e+00
-1.2773e-01  1.0679e+00  1.6490e-01 -8.0651e-03 -2.3783e+00  8.8868e-01  2.5389e+00  1.0000e+00
-1.0599e-01  5.1481e-01 -2.2508e-01  6.3444e+00 -2.9173e+00  5.0349e+00  8.6089e+00  1.0000e+00
-3.1022e-01  1.0271e+00  1.5979e-02  4.7589e+00  1.0104e+01  4.9623e+00  1.2222e+01  1.0000e+00
-2.5292e-01  9.3592e-01  4.5541e-01 -3.9225e+00  1.1205e+01 -3.9826e+00  1.2522e+01  1.0000e+00
