# limit = 10.0446
#
# x           y           z           vx          vy          vz          s           m
 4.7183e-01 -2.0178e+00 -1.0054e+00 -2.7931e+00 -6.0189e-01  3.9057e+00  4.8392e+00  1.0000e+00
-1.7289e-02  5.7118e-01 -7.7864e-03  1.4303e+01 -2.6256e+00 -1.5754e+01  2.1440e+01  1.0000e+00
 1.0402e+01  3.2142e-01  2.0327e+00  3.4720e+01  1.8414e+00  6.8315e+00  3.5434e+01  1.0000e+00
-2.8034e-01  4.9105e-01  1.8008e-01 -9.6304e+00  1.6600e+01  1.4022e+01  2.3768e+01  1.0000e+00
-8.6746e+00  3.3415e+00  5.3033e+00 -2.9785e+01  1.1050e+01  1.7597e+01  3.6317e+01  1.0000e+00
 3.7148e+00 -1.3043e+00  1.0781e+01  1.3046e+01 -3.7954e+00  3.6702e+01  3.9136e+01  1.0000e+00
 6.9969e-01 -8.7997e+00 -6.1763e+00  1.6931e+00 -2.9951e+01 -2.0417e+01  3.6287e+01  1.0000e+00
-5.1337e-01  1.6140e+00  8.9651e-01  1.4022e+00 -5.9410e+00 -3.0221e+00  6.8113e+00  1.0000e+00
-1.4103e+01  1.0226e+01  3.1246e+01 -4.5561e+01  3.3395e+01  1.0467e+02  1.1894e+02  1.0000e+00
 5.9764e+00 -2.9353e+00  1.3457e-01  1.1487e+02 -6.2211e+01  3.0604e+00  1.3067e+02  1.0000e+00
 2.3660e+00  2.7610e+00  1.9458e+00  3.5982e+00  5.9618e+00  3.2516e+00  7.6852e+00  1.0000e+00
 1.9454e-01  4.7500e-01 -2.7942e-02  1.0324e+01  9.9642e+00  5.8261e+00  1.5486e+01  1.0000e+00
 3.8904e-01  3.4764e-01  8.9392e-01 -9.3005e+00 -4.7901e+00 -1.2919e+01  1.6623e+01  1.0000e+00
 3.0624e+00  5.0642e-01 -7.5261e-01  1.0555e+01  3.2577e+00 -1.0008e+00  1.1091e+01  1.0000e+00
-1.6034e-01  4.9185e-01  1.2699e-01 -2.2731e+01 -1.4518e+01 -1.6514e+01  3.1626e+01  1.0000e+00
-4.0049e+00 -4.9729e-01 -3.4236e+00 -1.2008e+01 -2.5526e+00 -7.8598e+00  1.4577e+01  1.0000e+00
 6.3093e+00 -6.5714e+00 -7.4593e+00  2.1347e+01 -2.2351e+01 -2.5801e+01  4.0261e+01  1.0000e+00
-1.3650e-01  5.0070e-01 -4.4066e-02  1.1802e+00  5.3919e+00 -7.6882e+00  9.4643e+00  1.0000e+00
-1.9300e-01  5.4393e-01  1.7394e-01  1.7950e+01  8.5431e+00  2.7614e+01  3.4025e+01  1.0000e+00
 2.1883e+01  1.8064e+01 -7.9378e+00  7.3495e+01  5.8948e+01 -2.5227e+01  9.7533e+01  1.0000e+00
-1.0976e-01  5.3092e-01  3.0049e-01  1.4893e+01  3.0385e+01  2.0928e+01  3.9787e+01  1.0000e+00
-3.4945e-01  6.8925e-01 -4.2757e-02  1.1447e+01  2.5990e+00 -3.0851e+00  1.2137e+01  1.0000e+00
-6.6272e-01 -8.9706e-02  1.2207e+00 -1.1180e+01 -1.5902e+01  2.2091e+01  2.9426e+01  1.0000e+00
-4.6718e+00  8.7202e+00 -8.9241e+00 -1.6058e+01  3.0781e+01 -3.0770e+01  4.6391e+01  1.0000e+00
-2.8391e-01  1.0103e+01 -4.5084e+00 -1.2120e+00  3.4347e+01 -1.5114e+01  3.7545e+01  1.0000e+00
-2.4064e+00  1.1246e+00 -4.4378e+00 -9.1073e+00  5.8609e+00 -1.2176e+01  1.6296e+01  1.0000e+00
 3.4334e+00 -7.9254e+00  1.5993e+00  1.0377e+01 -2.7009e+01  4.9287e+00  2.9351e+01  1.0000e+00
 1.9826e+01 -5.1253e+00 -1.9116e+01  7.5308e+01 -1.9852e+01 -7.2677e+01  1.0652e+02  1.0000e+00
 5.7197e-01 -1.2018e+01 -1.5858e+01  2.1829e+00 -4.2279e+01 -5.5751e+01  7.0003e+01  1.0000e+00
-2.1818e-01  5.9734e-01  3.6417e-01  1.6808e+01  5.8134e+00  1.1099e+00  1.7819e+01  1.0000e+00
-1.8013e-01  6.2934e-01  7.2808e-02 -1.4770e+01  6.7630e+00  7.5325e+00  1.7906e+01  1.0000e+00
-2.0707e-01  5.1626e-01  5.2257e-02 -8.7345e+00 -3.3097e+01  7.1599e+00  3.4971e+01  1.0000e+00
-3.2223e-01  7.8047e-01  4.4604e-01 -1.3020e+00  1.0960e+01 -3.9971e+00  1.1738e+01  1.0000e+00
-1.8807e-01  4.3831e-01  3.8217e-01 -2.2006e+01  1.7534e+01  1.8745e+01  3.3810e+01  1.0000e+00
-3.4764e-01  5.5876e-01  3.1895e-01  1.5606e+01 -7.9523e-01 -1.5306e+01  2.1874e+01  1.0000e+00
-1.9236e-02  8.0786e-01  4.6703e-01  1.5675e+01  9.3887e+00 -6.1259e+00  1.9271e+01  1.0000e+00
-5.1297e-01  7.0620e-01  1.8125e-01 -8.0865e+00  3.0372e+01 -1.3201e+01  3.4090e+01  1.0000e+00
-8.4586e+00  1.6193e+01 -2.0674e+01 -2.8563e+01  5.4741e+01 -6.8019e+01  9.1864e+01  1.0000e+00
-5.4181e-01  3.7787e-01 -4.7947e-01  7.6124e+00  4.5257e+00  1.2937e+01  1.5678e+01  1.0000e+00
 6.3707e+00 -1.5007e+00  5.3200e+00  2.0225e+01 -4.2576e+00  1.7114e+01  2.6834e+01  1.0000e+00
 3.9780e+00  3.5805e+00  2.0655e-01  1.0302e+01  9.7747e+00  2.1345e+00  1.4361e+01  1.0000e+00
 1.2125e+00  5.0803e-01  2.6679e-01  1.6017e+01  1.6623e+00 -3.3994e+00  1.6458e+01  1.0000e+00
-3.1770e-02  3.8886e-01  3.3408e-01 -1.7924e+01 -1.8100e+00  1.6335e+00  1.8089e+01  1.0000e+00
 1.1925e+00 -3.6550e+00  1.1673e+01  4.3244e+00 -1.2168e+01  4.0093e+01  4.2121e+01  1.0000e+00
 1.1181e+01  5.4395e+00  8.6653e-01  3.9160e+01  1.8882e+01  3.1741e+00  4.3590e+01  1.0000e+00
 5.8471e-01 -7.4706e+00  1.1298e+00  3.2452e+00 -2.4560e+01  4.3959e+00  2.5161e+01  1.0000e+00
-2.2444e-02  4.4704e-01  3.1305e-01 -1.1942e+01  1.1130e+01  9.9259e+00  1.9105e+01  1.0000e+00
 2.0588e+00 -2.1108e+00 -4.7382e-01  4.2300e+00 -5.3578e-01  1.0603e+00  4.3936e+00  1.0000e+00
 5.5675e+00 -2.1313e+00  2.3989e+00  1.5990e+01 -6.3820e+00  7.3495e+00  1.8720e+01  1.0000e+00
-9.7014e-02  5.0679e-01  4.3908e-01  2.4775e+01 -1.1245e-01 -1.9351e+01  3.1437e+01  1.0000e+00
 1.4255e-01  2.0218e-01 -4.6426e-01  3.0878e+00 -1.4547e+00 -2.7653e+00  4.3929e+00  1.0000e+00
-8.2473e-02  5.0355e-01  2.7822e-01  1.5097e+01 -2.0685e+01  7.7843e+00  2.6765e+01  1.0000e+00
-1.9237e+00 -3.0082e+00  2.9519e+00 -4.3273e+00 -7.1485e+00  7.2051e+00  1.1034e+01  1.0000e+00
-4.2420e-01  7.2713e-01  2.7289e-01  1.6597e+00 -1.1217e+01 -4.3085e+00  1.2130e+01  1.0000e+00
-7.5197e-03  4.0654e-01  2.0764e-01  9.6214e+00  1.3281e+00 -1.6512e+01  1.9157e+01  1.0000e+00
 1.8271e-01  4.3430e-01  4.2762e-01  9.2315e+00  7.6932e+00 -1.6042e+01  2.0044e+01  1.0000e+00
-1.4050e-01  7.8776e-01  2.8203e-01  1.3646e+01  4.9427e+00 -3.0210e+00  1.4825e+01  1.0000e+00
-1.9496e-01  6.9345e-01  2.1169e-01  1.4898e+00  3.1912e+00 -1.6891e+01  1.7254e+01  1.0000e+00
-5.1198e-01  7.7972e-01  1.6341e-01 -1.2998e+01  5.2397e+00 -8.2798e+00  1.6278e+01  1.0000e+00
 2.9632e+00 -1.4809e+00  8.4899e+00  9.2345e+00 -5.4912e+00  2.8470e+01  3.0430e+01  1.0000e+00
-1.8784e-01  5.2900e-01  1.5503e-01 -1.4214e+01 -1.4741e+01 -1.8229e+01  2.7416e+01  1.0000e+00
-5.8328e-01 -1.8259e-02  4.6263e-01 -1.3688e+01 -2.6068e+01  1.0667e+01  3.1316e+01  1.0000e+00
 4.8029e+00  4.1005e-01 -2.3390e+00  1.9749e+01  2.0721e+00 -9.5146e+00  2.2019e+01  1.0000e+00
-3.8294e-01  8.4979e-01 -2.3113e-01  4.9556e+00  1.7278e+00 -1.2784e+01  1.3819e+01  1.0000e+00
 1.9975e+00 -6.7557e-01  7.0916e-01 -2.5335e+00 -1.2307e-01 -1.3846e-02  2.5365e+00  1.0000e+00
-2.8245e-01  4.9523e-01  2.5822e-01  5.6015e+00 -2.9515e+01  2.5175e+01  3.9195e+01  1.0000e+00
-3.3605e-01  5.0309e-01  2.6656e-01  1.9420e-01  2.6029e+01 -3.7989e+00  2.6306e+01  1.0000e+00
-3.0235e-01  6.5782e-01  8.0441e-02  5.4681e+00  2.3009e+01 -2.6737e-01  2.3651e+01  1.0000e+00
