# limit = 16.5472
#
# x           y           z           vx          vy          vz          s           m
-1.2648e-01 -1.4632e+00 -5.5309e-02 -3.5026e+00  7.1537e+00  6.2099e+00  1.0100e+01  1.0000e+00
-2.9287e-01  1.1517e+00  3.1657e-01  3.5311e+00  1.5490e+01 -1.3871e+01  2.1091e+01  1.0000e+00
 1.6739e+01  6.7397e-01  3.2777e+00  3.4250e+01  1.9789e+00  6.7179e+00  3.4959e+01  1.0000e+00
-7.3435e-02  7.2524e-01 -2.6867e-01  2.2380e+00  3.7814e+00  1.2987e+01  1.3711e+01  1.0000e+00
-1.4117e+01  5.3592e+00  8.5168e+00 -2.9440e+01  1.0911e+01  1.7376e+01  3.5885e+01  1.0000e+00
 6.1095e+00 -1.9859e+00  1.7495e+01  1.3003e+01 -3.6377e+00  3.6351e+01  3.8778e+01  1.0000e+00
 9.9018e-01 -1.4262e+01 -9.9014e+00  1.4943e+00 -2.9498e+01 -2.0127e+01  3.5742e+01  1.0000e+00
 3.9285e-01 -1.8698e-01 -3.1857e-01  1.5335e+00  2.5253e+00  2.1891e+00  3.6771e+00  1.0000e+00
-2.2482e+01  1.6368e+01  5.0498e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 2.7064e+01 -1.4357e+01  6.9537e-01  1.1453e+02 -6.2033e+01  3.0422e+00  1.3029e+02  1.0000e+00
 2.8163e+00  3.6530e+00  2.3918e+00  1.4543e+00  3.8785e+00  1.7133e+00  4.4825e+00  1.0000e+00
-3.2496e-01  7.1884e-01 -6.4643e-02 -9.8435e+00  9.7240e-01 -7.7513e+00  1.2567e+01  1.0000e+00
-1.1075e+00  2.7200e+00 -8.5344e-02 -8.9924e-01  9.7609e+00  3.5537e+00  1.0427e+01  1.0000e+00
 4.6263e+00  1.0804e+00 -8.2766e-01  6.9189e+00  2.9837e+00  1.8287e-02  7.5348e+00  1.0000e+00
 1.2213e+00 -6.4785e-01  7.2393e-01  5.5552e+00 -7.4013e+00  2.8529e-02  9.2543e+00  1.0000e+00
-6.0938e+00 -9.6946e-01 -4.7446e+00 -1.0820e+01 -2.6569e+00 -6.6098e+00  1.2955e+01  1.0000e+00
