# limit = 2.61711
#
# x           y           z           vx          vy          vz          s           m
 7.8236e-01 -9.6019e-01 -1.3625e+00  2.3246e+00 -7.8085e+00 -2.4041e+00  8.4945e+00  1.0000e+00
-4.2502e-01  5.4375e-02  8.6058e-02  8.2351e+00 -8.0393e+00  3.8372e+00  1.2131e+01  1.0000e+00
 2.3608e+00 -5.2388e-02  4.4716e-01  3.8583e+01  1.3464e+00  7.6228e+00  3.9352e+01  1.0000e+00
-1.1758e-01  1.6599e-03 -1.1913e-02  5.7036e+00  2.3484e+01  1.6107e+01  2.9042e+01  1.0000e+00
-1.7934e+00  7.7282e-01  1.2199e+00 -3.2980e+01  1.2485e+01  1.9752e+01  4.0419e+01  1.0000e+00
 7.3411e-01 -3.8664e-01  2.3173e+00  1.3965e+01 -4.6725e+00  4.0405e+01  4.3004e+01  1.0000e+00
 2.2662e-01 -1.8648e+00 -1.4332e+00  3.0086e+00 -3.3024e+01 -2.2967e+01  4.0337e+01  1.0000e+00
 1.0055e-01 -5.1373e-01 -7.8304e-02 -4.4438e+00  7.1139e+00 -3.1899e+00  8.9738e+00  1.0000e+00
-3.8528e+00  2.7120e+00  7.6980e+00 -4.5705e+01  3.3502e+01  1.0498e+02  1.1930e+02  1.0000e+00
-4.5557e-02  1.8148e-01 -1.4146e-02  7.9372e+00 -2.0043e+01  8.8046e+00  2.3286e+01  1.0000e+00
 9.5253e-01  8.6241e-01  7.8595e-01  1.1603e+01  1.3169e+01  8.9587e+00  1.9706e+01  1.0000e+00
-6.2204e-02  2.9577e-01 -4.9399e-02  1.7410e+01  2.1241e+01 -8.4327e+00  2.8730e+01  1.0000e+00
 4.2085e-01  8.1036e-01  8.1376e-01  7.2210e+00  4.7493e+00  1.2612e+01  1.5289e+01  1.0000e+00
-9.7818e-03  2.9865e-01  1.4575e-01 -1.4151e+01  1.8479e+01  1.6803e+01  2.8706e+01  1.0000e+00
-7.1502e-02  6.4321e-02  2.3149e-01  1.3030e+01  5.0244e+00  1.8344e+01  2.3055e+01  1.0000e+00
-8.6955e-01  1.1484e-01 -1.1848e+00 -1.8170e+01 -2.9029e+00 -1.5207e+01  2.3872e+01  1.0000e+00
 1.3787e+00 -1.4392e+00 -1.5360e+00  2.3698e+01 -2.4194e+01 -2.7908e+01  4.3884e+01  1.0000e+00
-7.5835e-02 -1.5609e-01  7.2060e-02 -2.9046e+01 -7.7925e-02 -7.7206e-02  2.9046e+01  1.0000e+00
-1.3673e-01  2.0526e-01  3.3717e-01  1.1518e+01  1.3355e+01  3.3570e+00  1.7952e+01  1.0000e+00
 5.3390e+00  4.7931e+00 -2.2577e+00  7.3856e+01  5.9264e+01 -2.5372e+01  9.8034e+01  1.0000e+00
-3.8724e-01  8.0133e-02  1.1573e-01 -3.0656e+00 -4.7539e+00  6.3095e+00  8.4739e+00  1.0000e+00
