# limit = 17.3335
#
# x           y           z           vx          vy          vz          s           m
-2.0339e-01 -1.2912e+00  8.3624e-02 -3.4572e+00  8.4675e+00  6.3714e+00  1.1147e+01  1.0000e+00
-2.3622e-01  1.2838e+00  5.3299e-03  1.2426e+00 -1.7098e+00 -1.1482e+01  1.1675e+01  1.0000e+00
 1.7495e+01  7.1778e-01  3.4259e+00  3.4217e+01  1.9911e+00  6.7092e+00  3.4925e+01  1.0000e+00
-9.2622e-02  8.3105e-01  1.7278e-01 -6.0759e+00  6.5870e+00  2.5795e+01  2.7307e+01  1.0000e+00
-1.4767e+01  5.6000e+00  8.9000e+00 -2.9415e+01  1.0902e+01  1.7361e+01  3.5854e+01  1.0000e+00
 6.3965e+00 -2.0661e+00  1.8297e+01  1.3001e+01 -3.6261e+00  3.6328e+01  3.8755e+01  1.0000e+00
 1.0230e+00 -1.4912e+01 -1.0345e+01  1.4797e+00 -2.9464e+01 -2.0106e+01  3.5701e+01  1.0000e+00
 4.1259e-01 -1.0194e-01 -2.5077e-01  2.1252e-01  5.2324e+00  3.9352e+00  6.5505e+00  1.0000e+00
-2.3487e+01  1.7105e+01  5.2807e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 2.9592e+01 -1.5726e+01  7.6252e-01  1.1452e+02 -6.2029e+01  3.0420e+00  1.3028e+02  1.0000e+00
 2.8461e+00  3.7364e+00  2.4280e+00  1.2472e+00  3.6746e+00  1.5652e+00  4.1843e+00  1.0000e+00
-4.7733e-01  7.9089e-01 -6.6479e-02 -2.8852e+00  5.9530e+00  8.1370e+00  1.0487e+01  1.0000e+00
-1.1210e+00  2.9211e+00 -4.5466e-03 -3.4103e-01  8.4884e+00  3.7547e+00  9.2880e+00  1.0000e+00
 4.7757e+00  1.1460e+00 -8.2646e-01  6.6242e+00  2.9538e+00  8.9971e-02  7.2535e+00  1.0000e+00
 1.3388e+00 -8.0041e-01  7.1913e-01  5.1366e+00 -6.3415e+00 -4.8528e-01  8.1752e+00  1.0000e+00
-6.3314e+00 -1.0286e+00 -4.8891e+00 -1.0706e+01 -2.7074e+00 -6.4855e+00  1.2807e+01  1.0000e+00
 1.0677e+01 -1.1152e+01 -1.2746e+01  2.1102e+01 -2.2139e+01 -2.5562e+01  3.9860e+01  1.0000e+00
-8.4053e-02  2.9022e-01  2.2879e-01 -5.7646e+00  3.4506e+00 -6.8635e+00  9.6044e+00  1.0000e+00
-3.0359e-01  8.1494e-01  1.2743e-01  4.3570e+00 -6.1642e+00 -1.1888e+01  1.4082e+01  1.0000e+00
 3.7017e+01  3.0205e+01 -1.3133e+01  7.3441e+01  5.8902e+01 -2.5207e+01  9.7459e+01  1.0000e+00
-5.5384e-01  1.3751e+00 -2.2509e-01 -8.7809e+00  4.1818e-01 -7.5553e+00  1.1591e+01  1.0000e+00
-5.9450e-01  8.7768e-01  1.3111e-01  1.2349e+01  1.3214e+01  4.4454e+00  1.8624e+01  1.0000e+00
-2.5683e+00 -2.8178e+00  4.9461e+00 -8.5305e+00 -1.2173e+01  1.6643e+01  2.2314e+01  1.0000e+00
-7.9678e+00  1.5035e+01 -1.5238e+01 -1.5958e+01  3.0569e+01 -3.0548e+01  4.6068e+01  1.0000e+00
-5.3579e-01  1.7129e+01 -7.5977e+00 -1.2293e+00  3.3919e+01 -1.4912e+01  3.7073e+01  1.0000e+00
-4.1900e+00  2.2948e+00 -6.7668e+00 -8.3177e+00  5.5372e+00 -1.0672e+01  1.4620e+01  1.0000e+00
 5.5422e+00 -1.3423e+01  2.6012e+00  1.0135e+01 -2.6461e+01  4.8148e+00  2.8742e+01  1.0000e+00
 3.5336e+01 -9.2133e+00 -3.4082e+01  7.5256e+01 -1.9839e+01 -7.2627e+01  1.0645e+02  1.0000e+00
 1.0210e+00 -2.0717e+01 -2.7330e+01  2.1767e+00 -4.2191e+01 -5.5631e+01  6.9854e+01  1.0000e+00
-2.6840e-01  8.0024e-01  3.7582e-01 -5.9167e+00  2.0952e+00  2.6000e+00  6.7939e+00  1.0000e+00
-5.1708e-01  1.0909e+00  1.0682e-01  6.8111e+00  2.5934e+00  1.7347e+01  1.8815e+01  1.0000e+00
-2.7137e-01  1.0152e+00  3.5190e-01  1.2366e+01  9.0863e+00  2.6948e+00  1.5580e+01  1.0000e+00
-1.3005e-02  9.1012e-01  8.6110e-01 -3.1231e+00  9.1383e+00 -1.5599e+00  9.7824e+00  1.0000e+00
-4.8074e-01  8.9183e-01 -2.7391e-02  1.4600e+01 -3.0576e+00 -1.5110e+00  1.4993e+01  1.0000e+00
-3.4553e-01  8.1956e-01  3.0116e-01 -2.0240e+01  1.6026e+01  5.4799e+00  2.6392e+01  1.0000e+00
-1.4738e-01  7.0577e-01 -2.7468e-02 -1.1076e+01 -1.9092e+01  3.5860e+00  2.2362e+01  1.0000e+00
-2.0569e-01  2.6764e+00 -1.1325e+00  3.7271e+00  2.0414e+00 -1.4357e+00  4.4855e+00  1.0000e+00
-1.4340e+01  2.7465e+01 -3.4679e+01 -2.8538e+01  5.4692e+01 -6.7946e+01  9.1773e+01  1.0000e+00
 9.0875e-02  1.0559e+00  1.6763e-02 -5.5748e+00 -2.5207e+00  1.4186e+01  1.5449e+01  1.0000e+00
 1.0471e+01 -2.3620e+00  8.7940e+00  1.9674e+01 -4.1233e+00  1.6686e+01  2.6125e+01  1.0000e+00
