# limit = 25.5233
#
# x           y           z           vx          vy          vz          s           m
 1.1077e-01  2.3023e+00 -2.5720e-01  6.2097e+00  7.1187e+00 -1.4466e+01  1.7277e+01  1.0000e+00
-3.3888e-01  1.0440e+00  4.8045e-01  1.7745e+01  1.2490e+01  1.4325e+01  2.6002e+01  1.0000e+00
 2.5273e+01  1.1839e+00  4.9478e+00  3.3983e+01  2.0881e+00  6.6456e+00  3.4690e+01  1.0000e+00
-3.8458e-01  1.4324e+00  3.1219e-01  7.1878e+00 -8.5562e+00 -1.0300e+01  1.5197e+01  1.0000e+00
-2.1450e+01  8.0781e+00  1.2845e+01 -2.9246e+01  1.0837e+01  1.7255e+01  3.5644e+01  1.0000e+00
 9.3619e+00 -2.8829e+00  2.6567e+01  1.2998e+01 -3.5467e+00  3.6181e+01  3.8608e+01  1.0000e+00
 1.3476e+00 -2.1597e+01 -1.4914e+01  1.3785e+00 -2.9227e+01 -1.9963e+01  3.5421e+01  1.0000e+00
-1.8784e-01  1.1900e+00  1.8721e-01  2.2519e+01 -1.4630e+01  8.7189e+00  2.8234e+01  1.0000e+00
-3.3879e+01  2.4721e+01  7.6671e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 5.5706e+01 -2.9871e+01  1.4561e+00  1.1448e+02 -6.2004e+01  3.0410e+00  1.3022e+02  1.0000e+00
 2.9059e+00  4.3542e+00  2.6268e+00 -6.7292e-01  1.7861e+00  2.1507e-01  1.9208e+00  1.0000e+00
-5.7420e-02  7.1889e-01  3.6425e-01 -4.6809e-01 -8.6394e+00  5.2089e+00  1.0099e+01  1.0000e+00
-7.9824e-01  3.6588e+00  8.5417e-01  2.6162e+00 -1.6422e+00  3.0843e+00  4.3651e+00  1.0000e+00
 6.0026e+00  1.7905e+00 -7.4532e-01  4.3146e+00  2.7145e+00  5.6454e-01  5.1287e+00  1.0000e+00
 1.8903e+00 -1.3619e+00  4.7077e-01  3.9779e-01  4.8822e-01 -1.1982e+00  1.3536e+00  1.0000e+00
-8.4559e+00 -1.5786e+00 -6.3491e+00 -9.0263e+00 -5.4598e-01 -7.3294e+00  1.1640e+01  1.0000e+00
 1.5477e+01 -1.6190e+01 -1.8562e+01  2.0995e+01 -2.2045e+01 -2.5455e+01  3.9683e+01  1.0000e+00
-3.5269e-02  1.1823e-01  2.6941e-01 -1.2480e+00  4.3197e+00  2.3152e+00  5.0574e+00  1.0000e+00
-2.0582e-01  8.7664e-01  5.5842e-01  7.1945e+00  1.6983e+00  7.5737e+00  1.0583e+01  1.0000e+00
 5.3770e+01  4.3638e+01 -1.8881e+01  7.3441e+01  5.8889e+01 -2.5204e+01  9.7451e+01  1.0000e+00
-2.6600e-01  1.1863e+00  1.2295e-01 -2.0329e+01 -1.2458e+01  2.1202e+00  2.3937e+01  1.0000e+00
-3.8698e-01  2.3548e+00  2.3341e-01  4.6992e+00  8.2223e+00  2.0648e+00  9.6929e+00  1.0000e+00
-4.4599e+00 -5.5167e+00  8.6297e+00 -8.1308e+00 -1.1592e+01  1.5812e+01  2.1225e+01  1.0000e+00
-1.1602e+01  2.1994e+01 -2.2193e+01 -1.5914e+01  3.0475e+01 -3.0451e+01  4.5927e+01  1.0000e+00
-8.1706e-01  2.4841e+01 -1.0989e+01 -1.2359e+00  3.3728e+01 -1.4822e+01  3.6862e+01  1.0000e+00
-6.0347e+00  3.5344e+00 -9.1084e+00 -7.8975e+00  5.3498e+00 -9.9423e+00  1.3778e+01  1.0000e+00
 7.8400e+00 -1.9427e+01  3.6919e+00  1.0023e+01 -2.6220e+01  4.7561e+00  2.8470e+01  1.0000e+00
 5.2499e+01 -1.3739e+01 -5.0647e+01  7.5256e+01 -1.9839e+01 -7.2627e+01  1.0645e+02  1.0000e+00
 1.5172e+00 -3.0334e+01 -4.0014e+01  2.1739e+00 -4.2147e+01 -5.5579e+01  6.9787e+01  1.0000e+00
-5.5455e-01  8.4587e-01  7.2267e-01  1.3248e-01 -1.2565e+00  3.2162e+00  3.4555e+00  1.0000e+00
 2.0125e-01  8.4645e-01  2.4042e-01 -1.4996e+00  1.1085e+01 -8.1738e+00  1.3854e+01  1.0000e+00
-2.0923e-01  1.0185e+00  4.1861e-01  5.1879e+00  8.2025e+00 -2.1920e+00  9.9499e+00  1.0000e+00
-7.6485e-01  1.5237e+00  3.4108e-01 -7.8076e+00 -2.9309e+00 -7.3774e+00  1.1134e+01  1.0000e+00
-5.2743e-01  1.1013e+00  4.0617e-02 -2.0680e+00  9.4881e+00  2.8448e+00  1.0119e+01  1.0000e+00
-1.1023e-01  8.9965e-01  5.4474e-01 -1.0474e+01  3.6810e+00  2.0325e+01  2.3160e+01  1.0000e+00
-2.5729e-01  8.3812e-01  2.4191e-01 -1.1980e+01  1.0685e+01  1.6511e+01  2.3028e+01  1.0000e+00
 4.1044e-01  1.9356e+00 -4.2684e-01 -7.7171e-01 -1.0111e+01  9.5795e+00  1.3949e+01  1.0000e+00
-2.0849e+01  3.9937e+01 -5.0175e+01 -2.8528e+01  5.4672e+01 -6.7946e+01  9.1758e+01  1.0000e+00
 2.1763e-01  1.2209e+00  1.3396e+00 -5.9202e+00 -5.7137e+00  5.6911e+00  1.0004e+01  1.0000e+00
 1.4928e+01 -3.2979e+00  1.2571e+01  1.9435e+01 -4.0823e+00  1.6471e+01  2.5800e+01  1.0000e+00
 7.8539e+00  7.3480e+00  1.1202e+00  8.0583e+00  7.9915e+00  2.0531e+00  1.1533e+01  1.0000e+00
 3.0235e+00  1.0780e+00 -8.8006e-01 -2.2185e+00  1.1126e+00 -1.0450e+00  2.6929e+00  1.0000e+00
-3.2552e-01  1.2953e+00  6.2033e-01 -1.3407e+01 -1.2373e+01  3.8523e+00  1.8646e+01  1.0000e+00
 3.0652e+00 -8.8854e+00  2.8932e+01  4.3072e+00 -1.1987e+01  3.9557e+01  4.1558e+01  1.0000e+00
 2.8061e+01  1.3543e+01  2.2337e+00  3.8737e+01  1.8542e+01  3.1375e+00  4.3061e+01  1.0000e+00
 1.9940e+00 -1.7849e+01  2.9755e+00  3.2403e+00 -2.3553e+01  4.1659e+00  2.4137e+01  1.0000e+00
-6.5641e-01  1.6732e+00  3.4553e-02 -1.2692e+01  3.5137e+00  2.5029e+00  1.3405e+01  1.0000e+00
 2.4612e+00 -5.4587e-01  4.0921e-01 -3.0181e+00  7.2905e+00  2.7656e+00  8.3611e+00  1.0000e+00
 1.2043e+01 -4.6676e+00  5.5018e+00  1.4307e+01 -5.4854e+00  7.0313e+00  1.6859e+01  1.0000e+00
 2.7583e-01  8.0471e-01  1.6728e-01 -1.2230e+01  6.8224e+00  6.5246e+00  1.5450e+01  1.0000e+00
-1.0591e+00  1.3546e+00  6.6078e-01  8.9035e+00 -2.5720e+00 -3.4700e+00  9.8959e+00  1.0000e+00
 1.8017e-02  1.0104e+00  3.7861e-01 -1.0133e+01 -6.2053e+00 -1.2213e+01  1.7039e+01  1.0000e+00
-3.4796e+00 -5.4589e+00  5.5742e+00 -3.1151e+00 -4.6708e+00  5.2882e+00  7.7127e+00  1.0000e+00
-1.7473e-01  1.3554e+00  6.8492e-01 -1.5164e+00 -1.4339e+01 -1.0409e+01  1.7783e+01  1.0000e+00
 2.6145e-01  5.0078e+00  4.9455e+00  2.2050e+00  1.3435e+01  1.4494e+01  1.9886e+01  1.0000e+00
-1.3345e-02  1.3662e+00  2.7750e-01 -1.7973e+00  1.6063e+01 -8.1809e+00  1.8116e+01  1.0000e+00
 5.1401e-03  1.1805e+00  3.9117e-01  2.1311e-01  1.5320e+00 -1.0591e+01  1.0703e+01  1.0000e+00
-6.5154e-01  1.7395e+00  3.4612e-02  6.2543e+00  1.7564e-01 -2.8548e+00  6.8773e+00  1.0000e+00
-2.4976e-01  9.3988e-01  4.9286e-01 -3.3826e+00 -7.5651e+00 -1.9087e+01  2.0808e+01  1.0000e+00
 6.9036e+00 -3.8389e+00  2.0627e+01  8.9901e+00 -5.3990e+00  2.7663e+01  2.9584e+01  1.0000e+00
 2.1999e-01  1.0014e+00 -6.6551e-02 -3.8397e+00  5.5074e+00  8.0352e+00  1.0471e+01  1.0000e+00
-4.1466e+00 -7.1445e+00  3.2828e+00 -7.1733e+00 -1.4389e+01  5.7633e+00  1.7080e+01  1.0000e+00
 1.2879e+01  1.2812e+00 -6.1998e+00  1.8006e+01  1.9688e+00 -8.5740e+00  2.0040e+01  1.0000e+00
-9.8616e-02  1.0537e+00  3.4727e-01  6.2501e+00 -1.7783e+01  1.9151e+01  2.6871e+01  1.0000e+00
-2.7306e-01  3.6032e+00  4.5245e-01  2.7165e+00  8.4737e+00  1.3645e+00  9.0025e+00  1.0000e+00
