# limit = 12.9604
#
# x           y           z           vx          vy          vz          s           m
 2.1981e-01 -1.9390e+00 -6.3071e-01 -3.2612e+00  2.5296e+00  5.0966e+00  6.5582e+00  1.0000e+00
-4.2067e-01  9.5884e-01  2.4605e-01  1.1403e+01  2.7600e+00 -6.6360e+00  1.3479e+01  1.0000e+00
 1.3265e+01  4.7701e-01  2.5958e+00  3.4454e+01  1.9127e+00  6.7686e+00  3.5164e+01  1.0000e+00
-2.8246e-01  3.6349e-01  5.1228e-01  1.0577e+00  6.6674e+00  4.8198e+00  8.2948e+00  1.0000e+00
-1.1133e+01  4.2530e+00  6.7548e+00 -2.9589e+01  1.0970e+01  1.7470e+01  3.6070e+01  1.0000e+00
 4.7939e+00 -1.6147e+00  1.3811e+01  1.3017e+01 -3.7069e+00  3.6497e+01  3.8926e+01  1.0000e+00
 8.3495e-01 -1.1269e+01 -7.8599e+00  1.5816e+00 -2.9699e+01 -2.0253e+01  3.5982e+01  1.0000e+00
-9.6402e-02  3.3050e-01 -1.1352e-02  9.8738e+00 -1.9889e+01 -1.3952e+01  2.6224e+01  1.0000e+00
-1.7875e+01  1.2991e+01  3.9914e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1891e+02  1.0000e+00
 1.5476e+01 -8.0804e+00  3.8754e-01  1.1461e+02 -6.2079e+01  3.0476e+00  1.3038e+02  1.0000e+00
 2.6174e+00  3.2099e+00  2.1813e+00  2.5147e+00  4.9152e+00  2.4726e+00  6.0495e+00  1.0000e+00
-4.6494e-01  4.0968e-01 -5.6107e-02  7.5395e+00  3.3534e+00 -6.8048e+00  1.0695e+01  1.0000e+00
-7.8430e-01  1.3260e+00 -3.1545e-01 -7.3948e+00  1.9371e+01 -8.1187e-01  2.0750e+01  1.0000e+00
 3.8481e+00  7.7129e-01 -8.0916e-01  8.5643e+00  3.1328e+00 -4.1717e-01  9.1289e+00  1.0000e+00
 3.0204e-01  4.3323e-01  4.9263e-01  1.8126e+01 -1.7237e+01  7.8017e+00  2.6202e+01  1.0000e+00
-4.9720e+00 -7.0778e-01 -4.0463e+00 -1.1384e+01 -2.5441e+00 -7.2150e+00  1.3716e+01  1.0000e+00
 8.0713e+00 -8.4176e+00 -9.5903e+00  2.1215e+01 -2.2238e+01 -2.5673e+01  4.0046e+01  1.0000e+00
-1.1407e-01  6.0777e-01  1.5189e-01 -2.8230e+00  1.6729e+01 -2.6999e+01  3.1887e+01  1.0000e+00
-2.9298e-01  7.6729e-01  1.1507e-01  6.5873e+00  1.1072e+00  1.5951e+01  1.7294e+01  1.0000e+00
