# limit = 3.54448
#
# x           y           z           vx          vy          vz          s           m
 8.2776e-01 -1.1654e+00 -1.3968e+00  3.7786e-01 -6.7939e+00  2.2870e-01  6.8082e+00  1.0000e+00
 6.0884e-03  2.5038e-01 -2.4058e-02 -2.5155e+01  3.1048e+00 -1.7974e+00  2.5410e+01  1.0000e+00
 3.4405e+00 -1.1775e-02  6.6038e-01  3.7074e+01  1.4807e+00  7.3195e+00  3.7819e+01  1.0000e+00
-1.5115e-01  6.5311e-02  3.6551e-02 -7.3444e+00 -1.9857e+01  2.8070e+01  3.5159e+01  1.0000e+00
-2.7161e+00  1.1204e+00  1.7710e+00 -3.1677e+01  1.1890e+01  1.8883e+01  3.8748e+01  1.0000e+00
 1.1273e+00 -5.1618e-01  3.4488e+00  1.3565e+01 -4.4053e+00  3.8881e+01  4.1415e+01  1.0000e+00
 3.0667e-01 -2.7920e+00 -2.0742e+00  2.6080e+00 -3.1919e+01 -2.1963e+01  3.8832e+01  1.0000e+00
-1.0799e-01  3.1369e-02 -4.6584e-02 -1.1820e+01  4.2065e+01  1.3102e+01  4.5617e+01  1.0000e+00
-5.1598e+00  3.6700e+00  1.0700e+01 -4.5651e+01  3.3463e+01  1.0487e+02  1.1917e+02  1.0000e+00
-1.1277e-01  1.7675e-01  2.0431e-02  1.8575e+01  1.6673e+00  9.1138e+00  2.0758e+01  1.0000e+00
 1.2464e+00  1.2057e+00  1.0142e+00  9.1696e+00  1.1031e+01  7.1821e+00  1.6042e+01  1.0000e+00
 9.2634e-03  1.7372e-01  3.0381e-02 -2.1877e+01 -2.4088e+01  1.7306e+01  3.6856e+01  1.0000e+00
 5.9519e-01  8.9420e-01  1.1129e+00  5.0575e+00  1.4514e+00  8.5440e+00  1.0034e+01  1.0000e+00
-2.7365e-01  1.9996e-01  1.3775e-01  1.0306e+01 -2.2697e+01 -2.2932e+01  3.3872e+01  1.0000e+00
-2.7212e-01  1.8267e-01 -1.9749e-02 -2.3381e+01  1.0504e+01  1.2987e+01  2.8734e+01  1.0000e+00
-1.3584e+00  3.1292e-02 -1.5759e+00 -1.6179e+01 -2.9097e+00 -1.2464e+01  2.0630e+01  1.0000e+00
 2.0404e+00 -2.1193e+00 -2.3207e+00  2.2693e+01 -2.3440e+01 -2.7047e+01  4.2379e+01  1.0000e+00
-2.4580e-02  2.9145e-01  4.4720e-02  2.7680e+01 -1.7066e+01 -2.5164e+00  3.2615e+01  1.0000e+00
-7.2699e-02  1.0636e-01 -9.8457e-02 -2.6828e+01 -2.1198e+01 -1.0009e+01  3.5627e+01  1.0000e+00
 7.4503e+00  6.4871e+00 -2.9828e+00  7.3726e+01  5.9148e+01 -2.5318e+01  9.7852e+01  1.0000e+00
 1.2111e-01  3.0978e-01  3.4183e-03 -6.7869e-01  1.4585e+01 -4.5155e+00  1.5283e+01  1.0000e+00
-8.8583e-02  2.4344e-01  1.1580e-02 -1.9205e+01 -2.5533e+01  2.8694e+01  4.2943e+01  1.0000e+00
-1.0812e-01  2.4654e-01 -1.0422e-02  9.0098e+00 -1.5233e+01 -1.2178e+01  2.1483e+01  1.0000e+00
-1.4883e+00  2.6137e+00 -2.8151e+00 -1.6609e+01  3.1887e+01 -3.1964e+01  4.8107e+01  1.0000e+00
-5.3604e-02  3.2310e+00 -1.4792e+00 -1.0725e+00  3.6500e+01 -1.6142e+01  3.9924e+01  1.0000e+00
-4.4284e-01 -7.6028e-02 -1.6074e+00 -1.1447e+01  6.2257e+00 -1.9205e+01  2.3208e+01  1.0000e+00
 1.3188e+00 -2.4619e+00  5.8879e-01  1.1643e+01 -2.9611e+01  5.6422e+00  3.2314e+01  1.0000e+00
 5.0338e+00 -1.2263e+00 -4.8399e+00  7.5656e+01 -1.9932e+01 -7.3011e+01  1.0701e+02  1.0000e+00
 1.4241e-01 -3.6948e+00 -4.8825e+00  2.1999e+00 -4.2760e+01 -5.6391e+01  7.0804e+01  1.0000e+00
-2.1470e-01  2.1549e-01  5.4499e-02 -1.9258e+01  2.6236e+00  5.7734e+00  2.0275e+01  1.0000e+00
-4.1301e-02  1.0589e-01 -1.1774e-01 -7.9618e+00 -1.2439e+01  1.4837e+00  1.4843e+01  1.0000e+00
-1.0489e-01  8.2112e-02 -3.3304e-02  1.3154e+00  1.6711e+01 -8.0627e+00  1.8601e+01  1.0000e+00
-2.4227e-01  1.2967e-01  4.7077e-01  6.4813e+00  5.4955e+00 -5.9803e+00  1.0391e+01  1.0000e+00
-1.9350e-01  1.7688e-01  7.6546e-03  1.3487e+01  3.4871e+00  5.8077e+00  1.5092e+01  1.0000e+00
-1.3027e-01  2.3236e-01  1.0570e-01  2.3631e+01  7.6159e+00  1.8059e+01  3.0701e+01  1.0000e+00
-2.0580e-01  1.1231e-01  2.9039e-01  1.8726e+01 -7.6925e+00  1.6146e+01  2.5894e+01  1.0000e+00
 1.6164e+00  2.2461e-01 -5.9972e-01 -1.0623e+00 -2.2847e+00  1.1737e+00  2.7795e+00  1.0000e+00
-2.8481e+00  5.4400e+00 -7.3122e+00 -2.8672e+01  5.4957e+01 -6.8306e+01  9.2239e+01  1.0000e+00
 1.3348e-01  2.0370e-01  8.7307e-01  6.2447e-01  4.9079e+00  4.5397e+00  6.7146e+00  1.0000e+00
 2.2413e+00 -6.2982e-01  1.8379e+00  2.2735e+01 -4.8010e+00  1.9034e+01  3.0037e+01  1.0000e+00
 1.6223e+00  1.3973e+00 -1.9244e-01  1.5077e+01  1.3557e+01  1.6659e+00  2.0345e+01  1.0000e+00
-2.8420e-01  2.4867e-01  3.3333e-01  2.5520e+01 -3.6854e+00 -8.2694e+00  2.7079e+01  1.0000e+00
-4.5883e-01  2.4339e-01  1.4226e-01  1.1045e+00  8.5966e+00 -1.0801e+01  1.3848e+01  1.0000e+00
 3.4049e-01 -1.2281e+00  3.6911e+00  4.3784e+00 -1.2813e+01  4.1965e+01  4.4095e+01  1.0000e+00
 3.4016e+00  1.6625e+00  2.3600e-01  4.0745e+01  2.0054e+01  3.2933e+00  4.5532e+01  1.0000e+00
