# limit = 31.4979
#
# x           y           z           vx          vy          vz          s           m
 7.0096e-01  2.7247e+00 -1.9440e+00  2.1401e+00  2.6373e-01 -7.2774e+00  7.5901e+00  1.0000e+00
-5.2429e-01  1.2585e+00  2.4737e-01 -1.4614e+01  9.4147e-01  1.9086e+01  2.4057e+01  1.0000e+00
 3.0785e+01  1.5269e+00  6.0243e+00  3.3889e+01  2.1368e+00  6.6161e+00  3.4595e+01  1.0000e+00
-6.0372e-01  1.5856e+00  2.5860e-01 -1.1839e+01 -8.7972e-01 -1.7231e+01  2.0925e+01  1.0000e+00
-2.6185e+01  9.8349e+00  1.5639e+01 -2.9178e+01  1.0810e+01  1.7213e+01  3.5560e+01  1.0000e+00
 1.1470e+01 -3.4558e+00  3.2430e+01  1.2998e+01 -3.5151e+00  3.6125e+01  3.8553e+01  1.0000e+00
 1.5677e+00 -2.6332e+01 -1.8151e+01  1.3368e+00 -2.9129e+01 -1.9907e+01  3.5306e+01  1.0000e+00
-6.3169e-01  1.7122e+00  2.8913e-01  6.5501e+00  3.4007e+00  8.5207e+00  1.1273e+01  1.0000e+00
-4.1270e+01  3.0140e+01  9.3648e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 7.4276e+01 -3.9936e+01  1.9496e+00  1.1448e+02 -6.2004e+01  3.0410e+00  1.3022e+02  1.0000e+00
 2.6924e+00  4.5384e+00  2.5867e+00 -1.9692e+00  4.6574e-01 -7.2491e-01  2.1495e+00  1.0000e+00
-3.7345e-01  1.2331e+00  5.5732e-01  2.5879e+00 -9.1562e+00  7.6995e+00  1.2240e+01  1.0000e+00
-2.8839e-01  2.7074e+00  1.0898e+00  3.3701e+00 -1.1488e+01 -1.4099e+00  1.2055e+01  1.0000e+00
 6.6031e+00  2.2201e+00 -6.3593e-01  3.1233e+00  2.5832e+00  7.7197e-01  4.1260e+00  1.0000e+00
 1.7392e+00 -9.8354e-01  2.8537e-01 -2.3041e+00  4.1799e+00 -1.0629e+00  4.8898e+00  1.0000e+00
-9.9676e+00 -1.7068e+00 -7.4820e+00 -9.4058e+00 -9.5283e-01 -6.7158e+00  1.1596e+01  1.0000e+00
 1.8883e+01 -1.9762e+01 -2.2686e+01  2.0953e+01 -2.2007e+01 -2.5413e+01  3.9612e+01  1.0000e+00
-4.0190e-01  2.3812e+00  3.7138e-01 -4.2420e+00 -1.3065e+00  1.8564e+00  4.8112e+00  1.0000e+00
-1.9472e-01  7.7882e-01  7.0258e-01  2.8425e+00  7.6839e+00  5.1035e+00  9.6523e+00  1.0000e+00
 6.5686e+01  5.3194e+01 -2.2970e+01  7.3441e+01  5.8889e+01 -2.5204e+01  9.7451e+01  1.0000e+00
-8.4754e-02  1.5514e+00 -4.2449e-02 -8.4846e+00 -3.2417e+00 -5.5005e+00  1.0619e+01  1.0000e+00
 4.8430e-02  1.6957e+00  4.9539e-01 -6.6396e+00 -2.0997e+01  9.8333e-01  2.2044e+01  1.0000e+00
-5.7687e+00 -7.3812e+00  1.1174e+01 -8.0082e+00 -1.1401e+01  1.5562e+01  2.0888e+01  1.0000e+00
-1.4182e+01  2.6941e+01 -2.7128e+01 -1.5898e+01  3.0437e+01 -3.0412e+01  4.5870e+01  1.0000e+00
-1.0178e+00  3.0307e+01 -1.3394e+01 -1.2382e+00  3.3651e+01 -1.4787e+01  3.6777e+01  1.0000e+00
-7.3001e+00  4.3953e+00 -1.0695e+01 -7.7081e+00  5.2647e+00 -9.6310e+00  1.3412e+01  1.0000e+00
