# limit = 23.3473
#
# x           y           z           vx          vy          vz          s           m
-3.7347e-01  1.5160e+00  6.4328e-01  7.5070e+00  2.1331e+01 -1.2798e+01  2.5984e+01  1.0000e+00
-4.2410e-01  9.3059e-01 -1.7919e-01 -4.1987e+00 -5.9379e+00  4.0244e+00  8.3117e+00  1.0000e+00
 2.3208e+01  1.0578e+00  4.5446e+00  3.4029e+01  2.0663e+00  6.6592e+00  3.4736e+01  1.0000e+00
-2.5156e-01  1.1417e+00  4.5081e-01 -1.2483e+01  1.5559e+01  8.8459e+00  2.1821e+01  1.0000e+00
-1.9677e+01  7.4204e+00  1.1798e+01 -2.9280e+01  1.0850e+01  1.7277e+01  3.5686e+01  1.0000e+00
 8.5726e+00 -2.6673e+00  2.4370e+01  1.2998e+01 -3.5625e+00  3.6208e+01  3.8635e+01  1.0000e+00
 1.2634e+00 -1.9824e+01 -1.3702e+01  1.3990e+00 -2.9275e+01 -1.9992e+01  3.5478e+01  1.0000e+00
-9.7276e-01  1.5779e+00  1.5275e-01  2.6734e+00 -1.4741e+00 -6.1522e-01  3.1143e+00  1.0000e+00
-3.1113e+01  2.2696e+01  7.0322e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 4.8762e+01 -2.6108e+01  1.2717e+00  1.1448e+02 -6.2004e+01  3.0410e+00  1.3022e+02  1.0000e+00
 2.9321e+00  4.2312e+00  2.6034e+00 -1.8847e-01  2.2675e+00  5.5586e-01  2.3422e+00  1.0000e+00
-4.8754e-01  1.5239e+00  2.0294e-01  1.0307e+01 -1.0777e+00  1.6052e+00  1.0487e+01  1.0000e+00
-9.3853e-01  3.6810e+00  6.4724e-01  2.0034e+00  8.6639e-01  3.6858e+00  4.2836e+00  1.0000e+00
 5.7254e+00  1.6242e+00 -7.7667e-01  4.8308e+00  2.7697e+00  4.6691e-01  5.5880e+00  1.0000e+00
 1.8376e+00 -1.3473e+00  5.4336e-01  1.3382e+00 -9.7936e-01 -1.1887e+00  2.0403e+00  1.0000e+00
-7.9524e+00 -1.5505e+00 -5.8936e+00 -6.4222e+00 -1.0380e+00 -7.3384e+00  9.8068e+00  1.0000e+00
