# limit = 26.8622
#
# x           y           z           vx          vy          vz          s           m
 3.0861e-01  2.5033e+00 -7.4914e-01  4.5315e+00  4.1591e+00 -1.2308e+01  1.3759e+01  1.0000e+00
 3.8819e-01  1.3249e+00  4.9862e-01  1.2747e+01  3.0172e+00 -1.1263e+01  1.7276e+01  1.0000e+00
 2.6521e+01  1.2608e+00  5.1916e+00  3.3960e+01  2.1002e+00  6.6383e+00  3.4667e+01  1.0000e+00
 1.1544e-01  9.2414e-01  3.2835e-01  1.3266e+01 -6.4731e+00  1.3911e+01  2.0283e+01  1.0000e+00
-2.2524e+01  8.4765e+00  1.3478e+01 -2.9228e+01  1.0829e+01  1.7244e+01  3.5622e+01  1.0000e+00
 9.8385e+00 -3.0130e+00  2.7895e+01  1.2998e+01 -3.5383e+00  3.6167e+01  3.8594e+01  1.0000e+00
 1.3980e+00 -2.2671e+01 -1.5647e+01  1.3676e+00 -2.9201e+01 -1.9949e+01  3.5391e+01  1.0000e+00
 2.6878e-01  8.4068e-01  6.0797e-01  1.0669e+00 -2.1987e+00  7.1788e+00  7.5834e+00  1.0000e+00
-3.5553e+01  2.5947e+01  8.0514e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 5.9912e+01 -3.2148e+01  1.5678e+00  1.1448e+02 -6.2004e+01  3.0410e+00  1.3022e+02  1.0000e+00
 2.8759e+00  4.4145e+00  2.6309e+00 -9.6270e-01  1.4951e+00  8.9954e-03  1.7782e+00  1.0000e+00
-1.0143e-01  8.5340e-01  5.0230e-01 -1.5455e+00  1.5622e+01 -5.1361e-01  1.5706e+01  1.0000e+00
-6.9618e-01  3.5686e+00  9.5819e-01  2.9288e+00 -3.2882e+00  2.5588e+00  5.0929e+00  1.0000e+00
 6.1556e+00  1.8896e+00 -7.2360e-01  4.0243e+00  2.6827e+00  6.1773e-01  4.8758e+00  1.0000e+00
 1.8941e+00 -1.3282e+00  4.2698e-01 -1.9747e-01  1.3395e+00 -1.1816e+00  1.7971e+00  1.0000e+00
-8.7921e+00 -1.6015e+00 -6.6146e+00 -9.2471e+00 -6.8927e-01 -7.1386e+00  1.1702e+01  1.0000e+00
 1.6249e+01 -1.6998e+01 -1.9497e+01  2.0984e+01 -2.2035e+01 -2.5444e+01  3.9664e+01  1.0000e+00
-1.0380e-01  4.7247e-01  3.8354e-01 -2.1761e+00  1.6250e+01  3.9007e+00  1.6853e+01  1.0000e+00
 3.4444e-02  1.2713e+00  4.0436e-01 -8.5513e-01  1.1473e+01 -1.6038e+01  1.9738e+01  1.0000e+00
 5.6470e+01  4.5800e+01 -1.9805e+01  7.3441e+01  5.8889e+01 -2.5204e+01  9.7451e+01  1.0000e+00
-6.9200e-01  9.0340e-01  3.7197e-01 -3.4995e+00 -1.2985e+00  8.7451e+00  9.5084e+00  1.0000e+00
-2.0842e-01  2.5555e+00  3.0922e-01  4.8694e+00  2.9031e+00  2.0081e+00  6.0143e+00  1.0000e+00
-4.7579e+00 -5.9414e+00  9.2092e+00 -8.0967e+00 -1.1540e+01  1.5742e+01  2.1131e+01  1.0000e+00
-1.2186e+01  2.3114e+01 -2.3310e+01 -1.5910e+01  3.0464e+01 -3.0440e+01  4.5911e+01  1.0000e+00
-8.6243e-01  2.6078e+01 -1.1533e+01 -1.2365e+00  3.3706e+01 -1.4813e+01  3.6839e+01  1.0000e+00
-6.3238e+00  3.7305e+00 -9.4719e+00 -7.8490e+00  5.3281e+00 -9.8616e+00  1.3684e+01  1.0000e+00
 8.2078e+00 -2.0389e+01  3.8666e+00  1.0011e+01 -2.6194e+01  4.7497e+00  2.8441e+01  1.0000e+00
 5.5263e+01 -1.4468e+01 -5.3317e+01  7.5256e+01 -1.9839e+01 -7.2627e+01  1.0645e+02  1.0000e+00
 1.5970e+00 -3.1880e+01 -4.2051e+01  2.1735e+00 -4.2140e+01 -5.5572e+01  6.9776e+01  1.0000e+00
