# limit = 6.66308
#
# x           y           z           vx          vy          vz          s           m
 7.1071e-01 -1.7742e+00 -1.3051e+00 -1.9571e+00 -4.3184e+00  2.0038e+00  5.1472e+00  1.0000e+00
-2.7192e-01  3.3038e-01 -1.6382e-02 -1.1149e+01  6.4747e+00  7.5244e-01  1.2915e+01  1.0000e+00
 6.9172e+00  1.4387e-01  1.3464e+00  3.5328e+01  1.7129e+00  6.9653e+00  3.6049e+01  1.0000e+00
-1.5602e-01  3.4461e-01  6.7551e-02 -7.4750e+00  5.4127e+00  3.2779e+00  9.7938e+00  1.0000e+00
-5.6889e+00  2.2313e+00  3.5369e+00 -3.0242e+01  1.1272e+01  1.7916e+01  3.6914e+01  1.0000e+00
 2.4113e+00 -9.1793e-01  7.1035e+00  1.3145e+01 -3.9843e+00  3.7218e+01  3.9672e+01  1.0000e+00
 5.2026e-01 -5.7923e+00 -4.1260e+00  1.9427e+00 -3.0503e+01 -2.0802e+01  3.6972e+01  1.0000e+00
-5.0829e-01  1.6474e+00  8.3920e-01 -1.4835e+00  5.1273e+00  3.8651e+00  6.5901e+00  1.0000e+00
-9.5640e+00  6.8985e+00  2.0818e+01 -4.5584e+01  3.3415e+01  1.0472e+02  1.1900e+02  1.0000e+00
 6.6578e-03  4.9683e-01  2.1952e-01 -1.0993e+01  9.5042e+00  1.1575e+01  1.8579e+01  1.0000e+00
 1.9233e+00  2.0868e+00  1.5610e+00  5.4391e+00  7.7138e+00  4.5717e+00  1.0487e+01  1.0000e+00
-2.1595e-01  6.1489e-01  1.3317e-01  4.3408e+00 -5.9157e+00  2.4791e-01  7.3416e+00  1.0000e+00
 8.0405e-01  7.7817e-01  1.4735e+00 -5.1395e-01 -3.0582e+00 -5.6251e-01  3.1517e+00  1.0000e+00
 1.8191e+00  1.8937e-01 -5.8985e-01  1.4954e+01  2.8585e+00 -2.5362e+00  1.5434e+01  1.0000e+00
-2.8762e-01  3.1476e-01 -1.1040e-02  1.3777e+00  2.5415e+00  7.6788e+00  8.2050e+00  1.0000e+00
-2.7535e+00 -2.3812e-01 -2.5843e+00 -1.3252e+01 -2.6750e+00 -9.1349e+00  1.6316e+01  1.0000e+00
 4.1695e+00 -4.3336e+00 -4.8760e+00  2.1664e+01 -2.2619e+01 -2.6105e+01  4.0773e+01  1.0000e+00
-2.5357e-01  5.5903e-01  2.4575e-01  6.7663e+00 -1.7348e+01 -8.4728e+00  2.0458e+01  1.0000e+00
-2.6473e-01  5.9413e-01  2.6895e-01  1.0489e+00  7.4700e+00 -5.1383e+00  9.1271e+00  1.0000e+00
 1.4560e+01  1.2190e+01 -5.4237e+00  7.3556e+01  5.9000e+01 -2.5251e+01  9.7617e+01  1.0000e+00
-9.1117e-02  3.0064e-01  4.3805e-01  5.7612e+00  6.1738e+00  1.7937e+01  1.9826e+01  1.0000e+00
-1.4437e-01  2.5837e-01  1.4608e-01 -1.4985e+01 -8.9622e+00  2.5063e+01  3.0545e+01  1.0000e+00
-1.8177e-01  4.2706e-01 -1.1404e-02  7.3633e+00  1.4788e+01 -1.3050e+01  2.1052e+01  1.0000e+00
-3.0668e+00  5.6428e+00 -5.8470e+00 -1.6189e+01  3.1052e+01 -3.1056e+01  4.6806e+01  1.0000e+00
-1.6428e-01  6.6593e+00 -2.9919e+00 -1.1856e+00  3.4883e+01 -1.5369e+01  3.8137e+01  1.0000e+00
-1.4637e+00  5.2783e-01 -3.1488e+00 -9.8996e+00  6.1380e+00 -1.3944e+01  1.8169e+01  1.0000e+00
 2.3862e+00 -5.2061e+00  1.1011e+00  1.0692e+01 -2.7675e+01  5.1010e+00  3.0104e+01  1.0000e+00
 1.2322e+01 -3.1471e+00 -1.1874e+01  7.5379e+01 -1.9869e+01 -7.2744e+01  1.0662e+02  1.0000e+00
 3.5426e-01 -7.8018e+00 -1.0298e+01  2.1890e+00 -4.2394e+01 -5.5904e+01  7.0195e+01  1.0000e+00
-1.5098e-01  3.9202e-01 -1.6085e-01 -5.7107e+00 -7.6999e+00  1.2188e+01  1.5507e+01  1.0000e+00
-2.7181e-01  5.0458e-01  7.9415e-02 -4.5892e+00 -1.9290e+01 -7.0156e+00  2.1033e+01  1.0000e+00
-1.5571e-01  5.3213e-01  2.4458e-01  1.9112e+01  6.6287e+00 -1.5301e+01  2.5364e+01  1.0000e+00
-2.4090e-01  3.7425e-01  4.0290e-01  6.9586e+00  7.8237e+00 -1.5192e+01  1.8450e+01  1.0000e+00
-2.4232e-01  6.0193e-01  4.3177e-03  8.7745e+00  1.2655e+01 -2.8814e+01  3.2671e+01  1.0000e+00
-1.0748e-01  3.1227e-01  2.4253e-01  2.0206e+00  9.4416e-02 -2.1414e+01  2.1510e+01  1.0000e+00
 8.3772e-02  4.7122e-01  8.3114e-02  7.7830e+00  8.2889e+00 -2.9365e+01  3.1490e+01  1.0000e+00
 1.1932e+00 -8.5794e-02 -2.1714e-01 -8.7904e+00 -2.3671e+00  5.6699e+00  1.0725e+01  1.0000e+00
-5.6121e+00  1.0738e+01 -1.3895e+01 -2.8592e+01  5.4798e+01 -6.8093e+01  9.1962e+01  1.0000e+00
-5.7031e-01  2.1987e-01 -5.2016e-01 -7.1315e+00 -1.5633e+00 -1.1697e+01  1.3789e+01  1.0000e+00
 4.3274e+00 -1.0701e+00  3.5931e+00  2.0884e+01 -4.4045e+00  1.7625e+01  2.7680e+01  1.0000e+00
 2.8878e+00  2.5557e+00 -4.1199e-03  1.1740e+01  1.0922e+01  2.0789e+00  1.6169e+01  1.0000e+00
-6.7510e-01  4.4666e-01 -4.5686e-01 -2.3788e+00  3.1403e+00  1.2514e+01  1.3120e+01  1.0000e+00
-2.4305e-01  7.1473e-01  6.6578e-02  8.7097e+00  1.2103e+01  1.5866e+00  1.4996e+01  1.0000e+00
 7.6105e-01 -2.4362e+00  7.6594e+00  4.3394e+00 -1.2326e+01  4.0558e+01  4.2611e+01  1.0000e+00
 7.2636e+00  3.5462e+00  5.4896e-01  3.9541e+01  1.9172e+01  3.2067e+00  4.4061e+01  1.0000e+00
 2.6247e-01 -4.9875e+00  6.8471e-01  3.2198e+00 -2.5410e+01  4.5606e+00  2.6016e+01  1.0000e+00
-2.0755e-01  4.4577e-01  2.6345e-01 -1.3335e+01  4.7343e-01 -1.9692e+01  2.3787e+01  1.0000e+00
 1.5493e+00 -1.9256e+00 -5.4515e-01  6.0847e+00 -3.3802e+00  3.0493e-01  6.9672e+00  1.0000e+00
 3.9176e+00 -1.4732e+00  1.6544e+00  1.7293e+01 -6.8727e+00  7.6422e+00  2.0117e+01  1.0000e+00
-8.5665e-01  5.6974e-01 -1.0220e-01 -1.1810e+01  1.6288e+00  8.9587e+00  1.4913e+01  1.0000e+00
-4.6770e-01  5.9910e-01  7.7951e-01 -2.0525e+00  4.1817e+00  3.8719e+00  6.0573e+00  1.0000e+00
-4.3683e-01  5.1852e-01  4.9357e-02  1.6664e+01  7.2783e+00 -9.8952e+00  2.0702e+01  1.0000e+00
-1.4588e+00 -2.2303e+00  2.1818e+00 -5.0870e+00 -8.6180e+00  8.3800e+00  1.3053e+01  1.0000e+00
-2.8397e-01  6.0840e-01  2.7728e-01  1.8526e+01 -1.5025e+01 -6.8902e+00  2.4828e+01  1.0000e+00
-1.7358e-01  4.6680e-01 -6.0913e-02 -1.7552e+01  2.1762e+01  1.2262e+00  2.7985e+01  1.0000e+00
 2.0871e-01  4.8646e-01 -3.9306e-02 -9.1037e+00  2.8722e+00 -1.3966e+01  1.6917e+01  1.0000e+00
-2.5951e-01  2.6516e-01  5.0831e-01 -5.7524e+00  4.8447e+00  4.6767e+00  8.8562e+00  1.0000e+00
-5.8562e-02  3.9978e-01 -3.3414e-02 -4.7119e+00  1.6529e+01 -8.1188e+00  1.9008e+01  1.0000e+00
-2.8679e-01  5.5107e-01  2.3722e-01  1.3860e+01 -1.3459e+01 -3.2364e+00  1.9588e+01  1.0000e+00
 2.0339e+00 -9.3092e-01  5.6249e+00  9.4542e+00 -5.5606e+00  2.9141e+01  3.1137e+01  1.0000e+00
-8.8041e-02  3.7594e-01  9.5601e-02 -5.1121e+00 -4.8102e+00 -1.1491e+01  1.3465e+01  1.0000e+00
-2.4720e-01  1.1496e-01  3.1475e-01  5.4645e+00  8.1488e-01 -2.0465e+00  5.8917e+00  1.0000e+00
 2.7617e+00  2.0048e-01 -1.3501e+00  2.1547e+01  2.1397e+00 -1.0518e+01  2.4072e+01  1.0000e+00
-3.9008e-01  5.8235e-01  1.5569e-01  1.6625e+01  7.3666e+00 -1.2985e+01  2.2344e+01  1.0000e+00
 2.0371e+00 -6.0790e-01  6.3966e-01  1.9326e+00 -1.1995e+00  1.3830e+00  2.6620e+00  1.0000e+00
-2.2485e-01  4.0597e-01  4.6396e-01 -1.1872e+00 -4.7594e+00  1.4025e+01  1.4858e+01  1.0000e+00
-4.3185e-02  4.8191e-01  3.4513e-02 -2.9557e+00 -1.3271e+01 -1.6928e+01  2.1712e+01  1.0000e+00
-3.1850e-02  4.0955e-01  2.2251e-01  9.1500e+00 -1.9235e+01  7.4747e+00  2.2574e+01  1.0000e+00
-6.0639e-01  4.9071e-01  1.2884e-01  6.1881e-01  8.7239e+00 -1.3258e+01  1.5883e+01  1.0000e+00
 1.5639e-01 -2.5829e-01  2.0315e-01 -4.4637e+00  5.8582e+00 -1.5685e+00  7.5302e+00  1.0000e+00
 6.6444e+00  8.4102e-01  1.2642e+00  3.4988e+01  3.8263e+00  6.2364e+00  3.5745e+01  1.0000e+00
-2.0154e-01  4.1673e-01 -2.7497e-02 -1.2670e+01  6.2640e+00 -5.7395e+00  1.5254e+01  1.0000e+00
-4.5721e-01  9.7630e-01 -1.2538e-01 -5.4837e+00  7.1448e+00  8.7649e-01  9.0492e+00  1.0000e+00
 5.1437e-01  2.4832e-01 -4.0365e-01  3.3543e+00  5.8114e+00 -1.6175e-01  6.7119e+00  1.0000e+00
-2.7718e-01  2.0033e-01  3.0255e-01  2.2901e+01  8.2686e+00 -8.8305e+00  2.5900e+01  1.0000e+00
-1.5854e-01  3.1372e-01  1.2893e-01  1.1279e+01 -1.7027e+01  1.6372e+01  2.6175e+01  1.0000e+00
-2.0841e-01  1.4990e-01  4.6596e-02 -5.6277e+00 -1.1763e+01  1.4620e+01  1.9591e+01  1.0000e+00
-3.3785e-01  7.5529e-01  2.7181e-01 -1.0346e+01  2.9834e+01 -1.6677e+00  3.1621e+01  1.0000e+00
 7.7775e+00 -3.8685e+00 -9.3048e-01  4.2205e+01 -1.9925e+01 -4.8298e+00  4.6922e+01  1.0000e+00
-4.7939e+00 -3.0688e+00 -1.9699e+00 -2.4517e+01 -1.4901e+01 -9.1803e+00  3.0123e+01  1.0000e+00
-1.5882e-01  2.3147e-01  1.3966e-01 -2.0081e+01 -7.7528e+00  5.8336e-01  2.1534e+01  1.0000e+00
 1.7466e+00  6.8837e-01  1.2626e+00  3.5212e+01  7.6012e+00  2.2462e+01  4.2452e+01  1.0000e+00
 1.3258e+00 -6.6270e-01 -1.0305e+00  2.2051e+00 -5.9283e-01  3.6569e-02  2.2837e+00  1.0000e+00
 2.2663e+00  1.6319e+00  2.7422e+00  8.4040e+00  7.9026e+00  1.0820e+01  1.5816e+01  1.0000e+00
-9.9811e-02  4.0458e-01 -2.2881e-02  1.4841e+01  9.7577e+00  1.9894e+01  2.6669e+01  1.0000e+00
