# limit = 30.971
#
# x           y           z           vx          vy          vz          s           m
 6.6932e-01  2.7193e+00 -1.8376e+00  2.3167e+00  4.9990e-01 -7.7079e+00  8.0641e+00  1.0000e+00
-2.8157e-01  1.2433e+00  2.1070e-02 -1.7611e+01 -2.1154e-01  1.3259e+01  2.2045e+01  1.0000e+00
 3.0303e+01  1.4965e+00  5.9302e+00  3.3897e+01  2.1330e+00  6.6184e+00  3.4603e+01  1.0000e+00
-4.1217e-01  1.5789e+00  5.1437e-01 -1.5224e+01  2.1066e+00 -1.7426e+01  2.3235e+01  1.0000e+00
-2.5771e+01  9.6813e+00  1.5395e+01 -2.9183e+01  1.0812e+01  1.7216e+01  3.5566e+01  1.0000e+00
 1.1285e+01 -3.4059e+00  3.1918e+01  1.2998e+01 -3.5174e+00  3.6128e+01  3.8556e+01  1.0000e+00
 1.5487e+00 -2.5918e+01 -1.7868e+01  1.3398e+00 -2.9135e+01 -1.9911e+01  3.5314e+01  1.0000e+00
-7.0381e-01  1.6446e+00  1.7779e-01  3.5762e+00  5.7131e+00  5.8581e+00  8.9300e+00  1.0000e+00
-4.0624e+01  2.9666e+01  9.2164e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 7.2652e+01 -3.9055e+01  1.9064e+00  1.1448e+02 -6.2004e+01  3.0410e+00  1.3022e+02  1.0000e+00
 2.7195e+00  4.5309e+00  2.5964e+00 -1.8523e+00  5.8690e-01 -6.3817e-01  2.0451e+00  1.0000e+00
-3.9733e-01  1.3727e+00  4.1992e-01 -7.0453e-02 -1.2145e+01  1.1756e+01  1.6903e+01  1.0000e+00
-3.3652e-01  2.8610e+00  1.1038e+00  3.3992e+00 -1.0173e+01 -5.7562e-01  1.0741e+01  1.0000e+00
 6.5581e+00  2.1833e+00 -6.4679e-01  3.2195e+00  2.5937e+00  7.5641e-01  4.2029e+00  1.0000e+00
 1.7701e+00 -1.0405e+00  3.0060e-01 -2.0514e+00  3.8450e+00 -1.0824e+00  4.4904e+00  1.0000e+00
-9.8341e+00 -1.6934e+00 -7.3864e+00 -9.4033e+00 -9.3197e-01 -6.7539e+00  1.1615e+01  1.0000e+00
 1.8585e+01 -1.9450e+01 -2.2325e+01  2.0955e+01 -2.2010e+01 -2.5415e+01  3.9617e+01  1.0000e+00
-3.4174e-01  2.3743e+00  3.4817e-01 -4.1886e+00  2.2204e+00  1.4030e+00  4.9440e+00  1.0000e+00
-2.3147e-01  7.0514e-01  6.1738e-01  2.6045e+00  1.9867e+00  6.2410e+00  7.0485e+00  1.0000e+00
 6.4644e+01  5.2358e+01 -2.2613e+01  7.3441e+01  5.8889e+01 -2.5204e+01  9.7451e+01  1.0000e+00
 1.2381e-02  1.5837e+00  7.8591e-02 -4.9029e+00 -6.2140e-01 -1.2288e+01  1.3245e+01  1.0000e+00
 1.0826e-01  1.9595e+00  4.7851e-01 -2.2435e+00 -1.6255e+01  1.1037e+00  1.6446e+01  1.0000e+00
-5.6548e+00 -7.2192e+00  1.0953e+01 -8.0165e+00 -1.1414e+01  1.5579e+01  2.0911e+01  1.0000e+00
-1.3957e+01  2.6509e+01 -2.6696e+01 -1.5899e+01  3.0440e+01 -3.0415e+01  4.5874e+01  1.0000e+00
-1.0002e+00  2.9829e+01 -1.3184e+01 -1.2381e+00  3.3656e+01 -1.4789e+01  3.6783e+01  1.0000e+00
-7.1906e+00  4.3205e+00 -1.0558e+01 -7.7224e+00  5.2710e+00 -9.6542e+00  1.3440e+01  1.0000e+00
 9.3206e+00 -2.3302e+01  4.3947e+00  9.9801e+00 -2.6128e+01  4.7329e+00  2.8367e+01  1.0000e+00
 6.3645e+01 -1.6678e+01 -6.1405e+01  7.5256e+01 -1.9839e+01 -7.2627e+01  1.0645e+02  1.0000e+00
 1.8391e+00 -3.6574e+01 -4.8232e+01  2.1721e+00 -4.2131e+01 -5.5551e+01  6.9754e+01  1.0000e+00
 2.8012e-01  1.6082e+00 -4.8406e-02 -1.0783e+00 -2.1053e+00  3.0274e+00  3.8419e+00  1.0000e+00
-5.1762e-02  1.0511e+00  3.0442e-01  6.7166e+00  9.9900e+00 -2.8331e+00  1.2367e+01  1.0000e+00
-5.7204e-01  1.1151e+00  8.1253e-01  4.2505e+00  6.4098e+00  1.3843e+00  7.8146e+00  1.0000e+00
 1.0713e-01  1.2306e+00  7.3717e-01 -8.4156e+00  3.3277e+00  6.1593e+00  1.0947e+01  1.0000e+00
-4.6571e-01  1.1910e+00  4.1395e-01 -8.2978e+00  1.9056e+01 -5.2695e-01  2.0791e+01  1.0000e+00
-6.4139e-02  1.0982e+00 -2.3270e-02  3.5136e+00 -4.9135e+00  1.1166e+01  1.2695e+01  1.0000e+00
 2.7749e-01  1.7664e+00  5.8765e-01 -5.6354e+00 -7.0886e+00 -8.2480e+00  1.2249e+01  1.0000e+00
-1.6944e+00  9.5489e-01  1.2765e+00 -1.4255e+01  3.0277e+00  4.6139e+00  1.5286e+01  1.0000e+00
-2.5071e+01  4.8037e+01 -6.0235e+01 -2.8528e+01  5.4672e+01 -6.7946e+01  9.1758e+01  1.0000e+00
-3.8898e-01  1.3713e+00 -9.3464e-02  5.4517e+00  2.0621e+01 -1.0376e+01  2.3719e+01  1.0000e+00
 1.7799e+01 -3.9006e+00  1.5003e+01  1.9341e+01 -4.0593e+00  1.6398e+01  2.5680e+01  1.0000e+00
 9.0206e+00  8.5108e+00  1.4216e+00  7.7140e+00  7.7258e+00  2.0176e+00  1.1102e+01  1.0000e+00
 2.4096e+00  1.2514e+00 -9.2059e-01 -6.5345e+00  1.5391e+00  4.8793e-01  6.7310e+00  1.0000e+00
-1.3920e-02  1.9623e+00  5.1055e-01 -7.9570e+00  7.9812e+00  1.0277e+01  1.5252e+01  1.0000e+00
 3.7028e+00 -1.0661e+01  3.4784e+01  4.3056e+00 -1.1967e+01  3.9500e+01  4.1497e+01  1.0000e+00
 3.3793e+01  1.6287e+01  2.6984e+00  3.8686e+01  1.8502e+01  3.1337e+00  4.2997e+01  1.0000e+00
 2.4733e+00 -2.1328e+01  3.5900e+00  3.2355e+00 -2.3434e+01  4.1348e+00  2.4015e+01  1.0000e+00
 3.2677e-01  1.3734e+00  1.6938e-01  8.6867e+00  4.9851e+00 -6.4020e+00  1.1887e+01  1.0000e+00
 1.6088e+00  7.1658e-01  8.2269e-01 -9.4070e+00  1.0050e+01  2.3531e+00  1.3965e+01  1.0000e+00
 1.4146e+01 -5.4689e+00  6.5396e+00  1.4101e+01 -5.3437e+00  6.9846e+00  1.6619e+01  1.0000e+00
-1.2850e-01  1.2250e+00  2.8033e-01  9.1273e+00 -9.6885e+00 -1.2872e+00  1.3373e+01  1.0000e+00
 9.4676e-01  1.2850e+00  1.2174e-01  1.5921e+00  3.2528e+00  3.6594e+00  5.1484e+00  1.0000e+00
-2.7654e-01  1.1041e+00  3.8124e-01 -3.8377e+00  9.4681e+00  6.7055e+00  1.2220e+01  1.0000e+00
-3.9267e+00 -6.1213e+00  6.3333e+00 -2.9302e+00 -4.2917e+00  4.9777e+00  7.1959e+00  1.0000e+00
 8.3873e-01  2.2034e-01 -1.4688e+00  5.5676e+00 -2.2224e+00 -9.3089e+00  1.1072e+01  1.0000e+00
 5.8335e-01  6.9486e+00  7.0308e+00  2.1447e+00  1.2845e+01  1.3755e+01  1.8942e+01  1.0000e+00
 4.5195e-02  9.0425e-01  8.7654e-01  1.3845e+00  6.5200e+00 -3.2232e+00  7.4038e+00  1.0000e+00
-1.2067e-01  1.1871e+00  7.0244e-01  3.2547e+00  4.0743e+00  6.4193e+00  8.2705e+00  1.0000e+00
 2.4042e-01  6.3921e-01  1.2604e+00 -1.0415e+00  3.6938e+00  3.8561e+00  5.4404e+00  1.0000e+00
-6.0559e-01  1.1268e+00  3.1012e-01  3.4901e+00  4.1648e+00 -9.3228e+00  1.0791e+01  1.0000e+00
 8.2336e+00 -4.6370e+00  2.4713e+01  8.9629e+00 -5.3882e+00  2.7569e+01  2.9486e+01  1.0000e+00
-1.3654e-01  1.4979e+00  1.2850e-01  1.5540e+01  9.9399e+00 -4.8081e+00  1.9063e+01  1.0000e+00
-5.1948e+00 -9.2459e+00  4.1264e+00 -6.9982e+00 -1.4020e+01  5.6411e+00  1.6654e+01  1.0000e+00
 1.5531e+01  1.5720e+00 -7.4618e+00  1.7816e+01  1.9587e+00 -8.4747e+00  1.9826e+01  1.0000e+00
-5.3082e-01  1.4996e+00  4.9130e-03 -3.6184e+00  2.3970e-01 -6.4249e+00  7.3777e+00  1.0000e+00
 8.3360e-02  4.3979e+00  6.1954e-01  2.0659e+00  2.6565e+00  9.0525e-01  3.4849e+00  1.0000e+00
 3.5730e-01  1.5502e+00  4.0293e-02 -9.5851e+00  9.3508e+00 -3.5533e+00  1.3854e+01  1.0000e+00
-4.0329e-01  1.4086e+00  7.5947e-01 -1.2985e+01  2.5601e+00  4.8684e+00  1.4102e+01  1.0000e+00
 4.9972e-01  1.7081e+00 -5.6811e-01  6.8027e+00  2.8904e+00 -4.0445e+00  8.4255e+00  1.0000e+00
-2.7931e-01  1.1798e+00  1.6757e-01 -5.9765e-01 -1.2819e-01  3.6882e+00  3.7385e+00  1.0000e+00
-2.1326e-01  3.6360e-01  8.5592e-01 -3.7285e-01 -1.9167e-01  2.4718e+00  2.5071e+00  1.0000e+00
 2.9885e+01  3.2116e+00  5.4171e+00  3.3780e+01  3.3000e+00  6.0622e+00  3.4478e+01  1.0000e+00
-2.5873e-01  1.4001e+00  3.8478e-01 -5.7526e+00  1.8517e+00  7.1694e+00  9.3767e+00  1.0000e+00
 6.8031e-01  1.5960e+00  3.6460e-01 -8.1555e+00  6.0609e+00 -7.4558e+00  1.2603e+01  1.0000e+00
-7.2591e-02  1.2095e+00 -7.0950e-01  1.6705e+00  5.2271e+00  5.4724e+00  7.7499e+00  1.0000e+00
-4.2624e-01  1.7328e+00  4.2193e-01 -8.8556e+00  2.1921e+00 -4.3511e-01  9.1332e+00  1.0000e+00
-1.9294e-01  1.3892e+00  2.6696e-01 -8.9358e+00  1.1283e+01 -5.1578e+00  1.5289e+01  1.0000e+00
-3.7457e-01  1.4973e+00  3.9658e-01  1.1511e+01  6.8928e-01  8.8033e+00  1.4508e+01  1.0000e+00
-2.2276e-01  1.3701e+00  5.1183e-02  3.7966e+00 -6.8221e+00 -1.2582e+01  1.4807e+01  1.0000e+00
 3.6146e+01 -1.7209e+01 -4.1432e+00  4.1395e+01 -1.9440e+01 -4.6684e+00  4.5970e+01  1.0000e+00
-2.0954e+01 -1.2658e+01 -7.9954e+00 -2.3394e+01 -1.3755e+01 -8.7120e+00  2.8502e+01  1.0000e+00
-3.8854e-01  2.2533e+00  4.9500e-01 -3.8964e+00  1.9473e+00 -2.3338e+00  4.9417e+00  1.0000e+00
 2.3949e+01  5.4771e+00  1.5473e+01  3.2040e+01  6.9115e+00  2.0538e+01  3.8681e+01  1.0000e+00
 7.9486e-02  1.0744e+00  1.2593e+00 -6.7418e+00  4.3171e+00 -6.6072e+00  1.0380e+01  1.0000e+00
 6.5258e+00  6.0712e+00  8.5226e+00  5.3040e+00  5.8533e+00  7.3208e+00  1.0770e+01  1.0000e+00
-9.7376e-01  1.4828e+00  3.9692e-01 -1.8077e+00  9.6768e+00  3.9453e+00  1.0605e+01  1.0000e+00
-7.1877e-01 -1.2890e-01  1.5784e-01 -4.6159e+00 -4.8277e+00 -1.0020e+00  6.7540e+00  1.0000e+00
 1.7375e+00  1.1574e+00  9.0969e-01  1.6422e+00  8.8758e-01  4.4995e+00  4.8714e+00  1.0000e+00
-1.3436e+00  2.6812e+00  3.6105e-01 -1.5644e+00  3.5296e+00  1.3713e+00  4.0970e+00  1.0000e+00
 1.5462e+02  3.8935e+01 -1.5002e+02  2.2218e+02  5.5313e+01 -2.1506e+02  3.1413e+02  1.0000e+00
 1.5239e-01  7.2091e-01  7.1951e-01  8.6322e-03  5.9912e+00  1.1367e+00  6.0980e+00  1.0000e+00
-1.4457e+00  3.2192e+00  9.0137e-01 -6.8360e+00  1.2350e+01  4.2798e+00  1.4751e+01  1.0000e+00
-5.5216e-01  1.6525e+00  8.2765e-01 -3.3993e+00 -1.5830e+01  4.4105e-02  1.6191e+01  1.0000e+00
 1.3930e+00  1.2865e+00  1.5914e+00  3.4670e+00  1.1598e+00  7.9247e+00  8.7273e+00  1.0000e+00
-6.3905e-01  1.9818e+00  2.1227e-01 -8.5597e+00 -9.1831e+00 -4.6336e+00  1.3382e+01  1.0000e+00
 5.6334e+00 -1.8908e+00 -4.4453e-01  4.1694e+00 -8.6332e-01  7.9469e-02  4.2586e+00  1.0000e+00
-4.3195e-01  1.6539e+00  4.6453e-01  1.2829e+01  1.1238e+01 -1.1360e+01  2.0492e+01  1.0000e+00
 9.6145e+00  1.9820e+01  3.4792e+01  1.7299e+01  3.3981e+01  6.1197e+01  7.2104e+01  1.0000e+00
-1.1583e+01 -1.6893e+01 -1.9011e+01 -1.2939e+01 -1.8738e+01 -2.1156e+01  3.1082e+01  1.0000e+00
 2.5175e+00 -5.1704e+00 -2.2226e+01  2.6619e+00 -5.3890e+00 -2.3114e+01  2.3882e+01  1.0000e+00
 1.9851e+00  4.2038e+00 -1.4215e+00  6.9232e-01 -2.0989e+00  3.3104e+00  3.9804e+00  1.0000e+00
-8.5748e-01  1.5983e+00  5.8255e-01  1.1679e+01 -3.4884e+00  5.0407e+00  1.3190e+01  1.0000e+00
-4.1403e-01  1.1895e+00  1.7555e-01  3.2293e+00  4.3643e+00 -1.7601e+01  1.8419e+01  1.0000e+00
-3.7736e+00  1.7335e+00 -5.7022e-01 -2.0637e+00  2.7513e+00  2.1482e+00  4.0551e+00  1.0000e+00
-1.3389e-01  1.0596e+00  4.5844e-01 -1.9279e+01  8.5461e+00  9.3557e+00  2.3070e+01  1.0000e+00
 2.9482e+01  1.1439e+01 -7.6486e-01  3.3200e+01  1.3164e+01 -8.7666e-01  3.5725e+01  1.0000e+00
-9.7774e-02  1.5389e+00  3.0119e-01  3.7508e+00  1.1338e+01 -1.2025e+01  1.6948e+01  1.0000e+00
 2.1913e+01  1.3009e+00  2.4566e+01  2.4691e+01  1.5790e+00  2.7674e+01  3.7121e+01  1.0000e+00
-1.2588e+00  2.6762e+00 -8.2232e-01 -2.9973e+00  7.1574e+00 -4.3165e+00  8.8794e+00  1.0000e+00
 9.4000e-02  1.0641e+00  2.3741e-01 -1.5672e+01 -5.9559e+00  1.3232e+01  2.1358e+01  1.0000e+00
-3.5993e+01  7.7061e+00  8.2402e+00 -4.1035e+01  8.9777e+00  9.4496e+00  4.3055e+01  1.0000e+00
-2.1913e-01  1.0464e+00  6.0266e-01  1.9724e+01 -1.1216e+01 -1.4907e+00  2.2739e+01  1.0000e+00
 7.4653e+00 -1.2173e+01  2.2103e+01  7.3286e+00 -1.2734e+01  2.4854e+01  2.8872e+01  1.0000e+00
 8.0365e+00 -8.4314e+00  1.7575e+01  8.5126e+00 -9.1196e+00  1.9059e+01  2.2779e+01  1.0000e+00
 1.4429e+01 -1.7321e+01 -6.6888e+00  1.4889e+01 -1.9006e+01 -7.2127e+00  2.5198e+01  1.0000e+00
 1.0967e+00  5.2091e-01  6.7016e-01 -1.2019e+01  9.9826e+00 -2.5101e+00  1.5825e+01  1.0000e+00
-1.6222e-01  1.4665e+00 -5.0803e-02  1.3996e+01  9.7220e-01 -5.9344e+00  1.5233e+01  1.0000e+00
-3.1163e-01  9.3031e-01  4.6853e-01 -1.4186e+00 -7.9981e+00  2.2853e+01  2.4253e+01  1.0000e+00
-3.8204e+00  1.3463e-01 -2.9460e+00 -7.8230e+00 -1.8618e+00 -4.6378e+00  9.2830e+00  1.0000e+00
-3.4042e-01  1.5196e+00  6.2041e-01  8.9479e+00  2.5174e+00 -1.3228e+01  1.6168e+01  1.0000e+00
 5.8616e-01  1.2425e+00  4.6652e-01  3.3860e+00  1.7320e+00  6.9688e+00  7.9391e+00  1.0000e+00
-4.5248e-01  1.6113e+00  2.3518e-01 -1.5226e+01  3.8305e-02 -6.6235e+00  1.6604e+01  1.0000e+00
 8.3374e-01  1.4011e+00  2.7457e-01  7.2595e-01  1.2197e+00  2.1442e-01  1.4355e+00  1.0000e+00
-4.7713e+01  1.9811e+01  1.8206e+01 -5.4903e+01  2.2863e+01  2.1168e+01  6.3127e+01  1.0000e+00
-6.5682e-01  1.4294e+00  7.0694e-01  6.2966e+00  7.7382e+00  1.2152e+01  1.5722e+01  1.0000e+00
-8.6557e-02  7.0119e-01  6.4174e-01  5.0376e+00 -7.8436e+00 -4.4693e+00  1.0338e+01  1.0000e+00
-3.6248e-01  2.8673e+00  7.0081e-01 -2.5135e+00  1.3315e+01  2.7627e+00  1.3829e+01  1.0000e+00
 1.7193e+01 -1.4611e+01 -5.7498e+00  1.8967e+01 -1.5992e+01 -6.0572e+00  2.5538e+01  1.0000e+00
-1.8712e-01  1.9814e+00  5.0116e-01  1.0539e+01 -6.6843e+00 -1.1256e+01  1.6806e+01  1.0000e+00
 1.1596e+01 -1.0020e+01  2.5788e+01  1.2833e+01 -1.1022e+01  2.9093e+01  3.3654e+01  1.0000e+00
 2.5194e+01  3.6952e+00  2.7167e+01  4.3717e+01  5.2992e+00  4.6131e+01  6.3776e+01  1.0000e+00
-4.4210e+00 -4.6111e+00 -2.1033e+01 -5.0648e+00 -4.8832e+00 -2.3139e+01  2.4185e+01  1.0000e+00
-6.8411e-01  2.1292e+00  3.7987e-01  5.7523e+00 -1.4745e+01  3.4267e+00  1.6194e+01  1.0000e+00
-5.9142e-02  1.2010e+00  5.4795e-01 -1.0756e+01  3.8778e+00  7.4800e+00  1.3663e+01  1.0000e+00
-1.2114e-01  1.5075e+00  2.5511e-01  2.3659e+00 -3.8005e+00  1.1146e+01  1.2011e+01  1.0000e+00
-1.0554e+00  4.0127e-01  1.0871e+00 -1.5548e-01 -1.2584e+00  1.5463e+00  1.9997e+00  1.0000e+00
-3.6849e-02  6.0342e-01  1.2708e+00 -2.7645e+00  1.1664e+01  8.9174e+00  1.4940e+01  1.0000e+00
-5.8349e-01  9.1271e-01  7.3207e-01 -4.1104e+00  6.2741e+00  5.8710e+00  9.5252e+00  1.0000e+00
